filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 5.0 50 50 50 50 50 50 50 50 50 50 
g_300.txt 5.0 59 59 59 59 59 59 59 59 59 59 
g_350.txt 5.0 88 88 88 88 88 88 88 88 88 88 
g_400.txt 5.0 194 194 194 194 194 194 194 194 194 194 
g_450.txt 5.0 283 283 283 283 283 283 283 283 283 283 
g_475.txt 5.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 5.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 10.0 28 29 29 29 29 29 29 29 29 29 
g_300.txt 10.0 43 43 43 43 43 43 43 43 43 43 
g_350.txt 10.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 10.0 192 192 192 192 192 192 192 192 192 192 
g_450.txt 10.0 283 283 283 283 283 283 283 283 283 283 
g_475.txt 10.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 10.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 15.0 10 10 10 10 10 10 10 10 10 10 
g_300.txt 15.0 21 21 21 21 21 21 21 21 21 21 
g_350.txt 15.0 62 62 62 62 62 62 62 62 62 62 
g_400.txt 15.0 190 190 190 190 190 190 190 190 190 190 
g_450.txt 15.0 282 282 282 282 282 282 282 282 282 282 
g_475.txt 15.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 15.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 20.0 3 3 3 3 3 3 3 3 3 3 
g_300.txt 20.0 11 11 11 11 11 11 11 11 11 11 
g_350.txt 20.0 45 45 45 45 45 45 45 45 45 45 
g_400.txt 20.0 183 183 183 183 183 183 183 183 183 183 
g_450.txt 20.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 20.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 20.0 363 363 363 363 363 363 363 363 363 363 
g_250.txt 25.0 0 0 0 0 0 0 0 0 0 0 
g_300.txt 25.0 2 2 2 2 2 2 2 2 2 2 
g_350.txt 25.0 26 26 26 26 26 26 26 26 26 26 
g_400.txt 25.0 175 175 175 175 175 175 175 175 175 175 
g_450.txt 25.0 282 282 282 282 282 282 282 282 282 282 
g_475.txt 25.0 322 322 322 322 322 322 322 322 322 322 
g_500.txt 25.0 363 363 363 363 363 363 363 363 363 363 
