filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 2.0 26 26 26 26 26 26 26 26 26 26 
g_300.txt 2.0 10 10 10 10 10 10 10 10 10 10 
g_350.txt 2.0 39 39 39 39 39 39 39 39 39 39 
g_400.txt 2.0 133 133 133 133 133 133 133 133 133 133 
g_450.txt 2.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 2.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 2.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 5.0 25 25 25 25 25 25 25 25 25 25 
g_300.txt 5.0 8 8 8 8 8 8 8 8 8 8 
g_350.txt 5.0 38 38 38 38 38 38 38 38 38 38 
g_400.txt 5.0 132 132 132 132 132 132 132 132 132 132 
g_450.txt 5.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 5.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 5.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 7.0 25 25 25 25 25 25 25 25 25 25 
g_300.txt 7.0 7 7 7 7 7 7 7 7 7 7 
g_350.txt 7.0 37 37 37 37 37 37 37 37 37 37 
g_400.txt 7.0 132 132 132 132 132 132 132 132 132 132 
g_450.txt 7.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 7.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 7.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 10.0 25 24 24 24 24 24 24 24 24 24 
g_300.txt 10.0 7 7 7 7 7 7 7 7 7 7 
g_350.txt 10.0 37 37 37 37 37 37 37 37 37 37 
g_400.txt 10.0 132 132 132 132 132 132 132 132 132 132 
g_450.txt 10.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 10.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 10.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 15.0 24 24 24 24 24 24 24 24 24 24 
g_300.txt 15.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 15.0 37 37 37 37 37 37 37 37 37 37 
g_400.txt 15.0 132 132 132 132 132 132 132 132 132 132 
g_450.txt 15.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 15.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 15.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 20.0 24 24 24 24 24 24 24 24 24 24 
g_300.txt 20.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 20.0 37 37 37 37 37 37 37 37 37 37 
g_400.txt 20.0 132 132 132 132 132 132 132 132 132 132 
g_450.txt 20.0 264 264 264 264 264 264 264 264 264 264 
g_475.txt 20.0 265 265 265 265 265 265 265 265 265 265 
g_500.txt 20.0 330 330 330 330 330 330 330 330 330 330 
