filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_20.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_25.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_30.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_35.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_40.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_45.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_50.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_60.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_75.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_90.txt 1.0 26 26 26 26 26 26 26 26 26 26 
g_100.txt 1.0 31 31 31 31 31 31 31 31 31 31 
g_20.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_25.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_30.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_35.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_40.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_45.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_50.txt 1.5 4 4 4 4 4 4 4 4 4 4 
g_60.txt 1.5 0 0 0 0 0 0 0 0 0 0 
g_75.txt 1.5 1 1 1 1 1 1 1 1 1 1 
g_90.txt 1.5 35 35 35 35 35 35 35 35 35 35 
g_100.txt 1.5 45 45 45 45 45 45 45 45 45 45 
g_20.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_25.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_30.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_35.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_40.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_45.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_50.txt 2.0 11 11 11 11 11 11 11 11 11 11 
g_60.txt 2.0 2 2 2 2 2 2 2 2 2 2 
g_75.txt 2.0 13 13 13 13 13 13 13 13 13 13 
g_90.txt 2.0 49 49 49 49 49 49 49 49 49 49 
g_100.txt 2.0 57 57 57 57 57 57 57 57 57 57 
g_20.txt 2.5 3 3 3 3 3 3 3 3 3 3 
g_25.txt 2.5 0 0 0 0 0 0 0 0 0 0 
g_30.txt 2.5 0 0 0 0 0 0 0 0 0 0 
g_35.txt 2.5 0 0 0 0 0 0 0 0 0 0 
g_40.txt 2.5 0 0 0 0 0 0 0 0 0 0 
g_45.txt 2.5 0 0 0 0 0 0 0 0 0 0 
g_50.txt 2.5 22 22 22 22 22 22 22 22 22 22 
g_60.txt 2.5 11 11 11 11 11 11 11 11 11 11 
g_75.txt 2.5 28 28 28 28 28 28 28 28 28 28 
g_90.txt 2.5 55 55 55 55 55 55 55 55 55 55 
g_100.txt 2.5 63 63 63 63 63 63 63 63 63 63 
g_20.txt 3.0 7 7 7 7 7 7 7 7 7 7 
g_25.txt 3.0 5 5 5 5 5 5 5 5 5 5 
g_30.txt 3.0 0 0 0 0 0 0 0 0 0 0 
g_35.txt 3.0 0 0 0 0 0 0 0 0 0 0 
g_40.txt 3.0 2 2 2 2 2 2 2 2 2 2 
g_45.txt 3.0 2 2 2 2 2 2 2 2 2 2 
g_50.txt 3.0 23 23 23 23 23 23 23 23 23 23 
g_60.txt 3.0 19 19 19 19 19 19 19 19 19 19 
g_75.txt 3.0 35 35 35 35 35 35 35 35 35 35 
g_90.txt 3.0 57 57 57 57 57 57 57 57 57 57 
g_100.txt 3.0 69 69 69 69 69 69 69 69 69 69 
g_20.txt 3.5 9 9 9 9 9 9 9 9 9 9 
g_25.txt 3.5 8 8 8 8 8 8 8 8 8 8 
g_30.txt 3.5 0 0 0 0 0 0 0 0 0 0 
g_35.txt 3.5 0 0 0 0 0 0 0 0 0 0 
g_40.txt 3.5 7 7 7 7 7 7 7 7 7 7 
g_45.txt 3.5 6 6 6 6 6 6 6 6 6 6 
g_50.txt 3.5 29 29 29 29 29 29 29 29 29 29 
g_60.txt 3.5 29 29 29 29 29 29 29 29 29 29 
g_75.txt 3.5 40 40 40 40 40 40 40 40 40 40 
g_90.txt 3.5 61 61 61 61 61 61 61 61 61 61 
g_100.txt 3.5 73 73 73 73 73 73 73 73 73 73 
g_20.txt 4.0 11 10 10 10 10 10 10 10 10 10 
g_25.txt 4.0 14 14 14 14 14 14 14 14 14 14 
g_30.txt 4.0 0 0 0 0 0 0 0 0 0 0 
g_35.txt 4.0 3 3 3 3 3 3 3 3 3 3 
g_40.txt 4.0 15 15 15 15 15 15 15 15 15 15 
g_45.txt 4.0 13 13 13 13 13 13 13 13 13 13 
g_50.txt 4.0 31 31 31 31 31 31 31 31 31 31 
g_60.txt 4.0 35 35 35 35 35 35 35 35 35 35 
g_75.txt 4.0 46 46 46 46 46 46 46 46 46 46 
g_90.txt 4.0 63 63 63 63 63 63 63 63 63 63 
g_100.txt 4.0 78 78 78 78 78 78 78 78 78 78 
