filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_300.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_350.txt 32000.0 1 1 1 1 1 1 1 1 1 1 
g_400.txt 32000.0 51 51 51 51 51 51 51 51 51 51 
g_450.txt 32000.0 150 150 150 150 150 150 150 150 150 150 
g_475.txt 32000.0 147 147 147 147 147 147 147 147 147 147 
g_500.txt 32000.0 169 169 169 169 169 169 169 169 169 169 
g_250.txt 72000.0 24 24 24 24 24 24 24 24 24 24 
g_300.txt 72000.0 3 3 3 3 3 3 3 3 3 3 
g_350.txt 72000.0 40 40 40 40 40 40 40 40 40 40 
g_400.txt 72000.0 161 161 161 161 161 161 161 161 161 161 
g_450.txt 72000.0 273 273 273 273 273 273 273 273 273 273 
g_475.txt 72000.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 72000.0 323 323 323 323 323 323 323 323 323 323 
g_250.txt 86400.0 40 40 40 40 40 40 40 40 40 40 
g_300.txt 86400.0 8 8 8 8 8 8 8 8 8 8 
g_350.txt 86400.0 59 59 59 59 59 59 59 59 59 59 
g_400.txt 86400.0 186 186 186 186 186 186 186 186 186 186 
g_450.txt 86400.0 299 299 299 299 299 299 299 299 299 299 
g_475.txt 86400.0 299 299 299 299 299 299 299 299 299 299 
g_500.txt 86400.0 355 355 355 355 355 355 355 355 355 355 
g_250.txt 129600.0 81 81 81 81 81 81 81 81 81 81 
g_300.txt 129600.0 33 33 33 33 33 33 33 33 33 33 
g_350.txt 129600.0 125 125 125 125 125 125 125 125 125 125 
g_400.txt 129600.0 257 257 257 257 257 257 257 257 257 257 
g_450.txt 129600.0 341 341 341 341 341 341 341 341 341 341 
g_475.txt 129600.0 373 373 373 373 373 373 373 373 373 373 
g_500.txt 129600.0 416 416 416 416 416 416 416 416 416 416 
g_250.txt 172800.0 125 125 125 125 125 125 125 125 125 125 
g_300.txt 172800.0 79 79 79 79 79 79 79 79 79 79 
g_350.txt 172800.0 171 171 171 171 171 171 171 171 171 171 
g_400.txt 172800.0 295 295 295 295 295 295 295 295 295 295 
g_450.txt 172800.0 377 377 377 377 377 377 377 377 377 377 
g_475.txt 172800.0 410 410 410 410 410 410 410 410 410 410 
g_500.txt 172800.0 445 445 445 445 445 445 445 445 445 445 
g_250.txt 216000.0 140 140 140 140 140 140 140 140 140 140 
g_300.txt 216000.0 119 119 119 119 119 119 119 119 119 119 
g_350.txt 216000.0 196 196 196 196 196 196 196 196 196 196 
g_400.txt 216000.0 316 316 316 316 316 316 316 316 316 316 
g_450.txt 216000.0 402 402 402 402 402 402 402 402 402 402 
g_475.txt 216000.0 432 432 432 432 432 432 432 432 432 432 
g_500.txt 216000.0 463 463 463 463 463 463 463 463 463 463 
g_250.txt 720000.0 215 215 215 215 215 215 215 215 215 215 
g_300.txt 720000.0 243 243 243 243 243 243 243 243 243 243 
g_350.txt 720000.0 321 321 321 321 321 321 321 321 321 321 
g_400.txt 720000.0 389 389 389 389 389 389 389 389 389 389 
g_450.txt 720000.0 448 448 448 448 448 448 448 448 448 448 
g_475.txt 720000.0 469 469 469 469 469 469 469 469 469 469 
g_500.txt 720000.0 497 497 497 497 497 497 497 497 497 497 
