filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_190.txt 32000.0 3 3 3 3 3 3 3 3 3 3 
g_200.txt 32000.0 1 1 1 1 1 1 1 1 1 1 
g_125.txt 72000.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 72000.0 1 1 1 1 1 1 1 1 1 1 
g_160.txt 72000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 72000.0 7 7 7 7 7 7 7 7 7 7 
g_190.txt 72000.0 31 31 31 31 31 31 31 31 31 31 
g_200.txt 72000.0 12 12 12 12 12 12 12 12 12 12 
g_125.txt 86400.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 86400.0 6 6 6 6 6 6 6 6 6 6 
g_160.txt 86400.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 86400.0 13 13 13 13 13 13 13 13 13 13 
g_190.txt 86400.0 46 46 46 46 46 46 46 46 46 46 
g_200.txt 86400.0 21 21 21 21 21 21 21 21 21 21 
g_125.txt 129600.0 3 3 3 3 3 3 3 3 3 3 
g_150.txt 129600.0 15 15 15 15 15 15 15 15 15 15 
g_160.txt 129600.0 2 2 2 2 2 2 2 2 2 2 
g_175.txt 129600.0 30 30 30 30 30 30 30 30 30 30 
g_190.txt 129600.0 63 63 63 63 63 63 63 63 63 63 
g_200.txt 129600.0 51 51 51 51 51 51 51 51 51 51 
g_125.txt 172800.0 12 12 12 12 12 12 12 12 12 12 
g_150.txt 172800.0 25 25 25 25 25 25 25 25 25 25 
g_160.txt 172800.0 10 10 10 10 10 10 10 10 10 10 
g_175.txt 172800.0 57 57 57 57 57 57 57 57 57 57 
g_190.txt 172800.0 93 93 93 93 93 93 93 93 93 93 
g_200.txt 172800.0 76 76 76 76 76 76 76 76 76 76 
g_125.txt 216000.0 26 27 27 27 27 27 27 27 27 27 
g_150.txt 216000.0 36 36 36 36 36 36 36 36 36 36 
g_160.txt 216000.0 19 19 19 19 19 19 19 19 19 19 
g_175.txt 216000.0 71 71 71 71 71 71 71 71 71 71 
g_190.txt 216000.0 108 108 108 108 108 108 108 108 108 108 
g_200.txt 216000.0 92 92 92 92 92 92 92 92 92 92 
g_125.txt 720000.0 72 71 71 71 71 71 71 71 71 71 
g_150.txt 720000.0 112 112 112 112 112 112 112 112 112 112 
g_160.txt 720000.0 85 85 85 85 85 85 85 85 85 85 
g_175.txt 720000.0 135 135 135 135 135 135 135 135 135 135 
g_190.txt 720000.0 166 166 166 166 166 166 166 166 166 166 
g_200.txt 720000.0 172 172 172 172 172 172 172 172 172 172 
