filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01.txt 1/1 72 72 72 72 72 72 72 72 72 72 
n125_01.txt 1/2 40 40 40 40 40 40 40 40 40 40 
n125_01.txt 1/3 28 28 28 28 28 28 28 28 28 28 
n125_01.txt 1/4 16 16 16 16 16 16 16 16 16 16 
n125_01.txt 1/5 7 7 7 7 7 7 7 7 7 7 
n125_03.txt 1/1 72 72 72 72 72 72 72 72 72 72 
n125_03.txt 1/2 46 46 46 46 46 46 46 46 46 46 
n125_03.txt 1/3 29 29 29 29 29 29 29 29 29 29 
n125_03.txt 1/4 13 13 13 13 13 13 13 13 13 13 
n125_03.txt 1/5 13 13 13 13 13 13 13 13 13 13 
n125_04.txt 1/1 68 68 68 68 68 68 68 68 68 68 
n125_04.txt 1/2 48 48 48 48 48 48 48 48 48 48 
n125_04.txt 1/3 33 33 33 33 33 33 33 33 33 33 
n125_04.txt 1/4 22 22 22 22 22 22 22 22 22 22 
n125_04.txt 1/5 14 14 14 14 14 14 14 14 14 14 
n125_05.txt 1/1 71 71 71 71 71 71 71 71 71 71 
n125_05.txt 1/2 38 38 38 38 38 38 38 38 38 38 
n125_05.txt 1/3 31 31 31 31 31 31 31 31 31 31 
n125_05.txt 1/4 10 10 10 10 10 10 10 10 10 10 
n125_05.txt 1/5 1 1 1 1 1 1 1 1 1 1 
n150_01.txt 1/1 103 103 103 103 103 103 103 103 103 103 
n150_01.txt 1/2 69 69 69 69 69 69 69 69 69 69 
n150_01.txt 1/3 45 45 45 45 45 45 45 45 45 45 
n150_01.txt 1/4 32 32 32 32 32 32 32 32 32 32 
n150_01.txt 1/5 17 17 17 17 17 17 17 17 17 17 
n150_02.txt 1/1 94 94 94 94 94 94 94 94 94 94 
n150_02.txt 1/2 74 74 74 74 74 74 74 74 74 74 
n150_02.txt 1/3 50 50 50 50 50 50 50 50 50 50 
n150_02.txt 1/4 36 36 36 36 36 36 36 36 36 36 
n150_02.txt 1/5 25 25 25 25 25 25 25 25 25 25 
n150_03.txt 1/1 82 82 82 82 82 82 82 82 82 82 
n150_03.txt 1/2 50 50 50 50 50 50 50 50 50 50 
n150_03.txt 1/3 30 30 30 30 30 30 30 30 30 30 
n150_03.txt 1/4 23 23 23 23 23 23 23 23 23 23 
n150_03.txt 1/5 8 8 8 8 8 8 8 8 8 8 
n150_04.txt 1/1 92 92 92 92 92 92 92 92 92 92 
n150_04.txt 1/2 59 59 59 59 59 59 59 59 59 59 
n150_04.txt 1/3 43 43 43 43 43 43 43 43 43 43 
n150_04.txt 1/4 31 31 31 31 31 31 31 31 31 31 
n150_04.txt 1/5 18 18 18 18 18 18 18 18 18 18 
n175_01.txt 1/1 105 105 105 105 105 105 105 105 105 105 
n175_01.txt 1/2 77 77 77 77 77 77 77 77 77 77 
n175_01.txt 1/3 60 60 60 60 60 60 60 60 60 60 
n175_01.txt 1/4 46 46 46 46 46 46 46 46 46 46 
n175_01.txt 1/5 39 39 39 39 39 39 39 39 39 39 
n175_02.txt 1/1 110 110 110 110 110 110 110 110 110 110 
n175_02.txt 1/2 83 83 83 83 83 83 83 83 83 83 
n175_02.txt 1/3 65 65 65 65 65 65 65 65 65 65 
n175_02.txt 1/4 53 53 53 53 53 53 53 53 53 53 
n175_02.txt 1/5 49 49 49 49 49 49 49 49 49 49 
n175_03.txt 1/1 98 98 98 98 98 98 98 98 98 98 
n175_03.txt 1/2 61 61 61 61 61 61 61 61 61 61 
n175_03.txt 1/3 33 33 33 33 33 33 33 33 33 33 
n175_03.txt 1/4 25 25 25 25 25 25 25 25 25 25 
n175_03.txt 1/5 16 16 16 16 16 16 16 16 16 16 
n175_04.txt 1/1 100 100 100 100 100 100 100 100 100 100 
n175_04.txt 1/2 75 75 75 75 75 75 75 75 75 75 
n175_04.txt 1/3 45 45 45 45 45 45 45 45 45 45 
n175_04.txt 1/4 39 39 39 39 39 39 39 39 39 39 
n175_04.txt 1/5 27 27 27 27 27 27 27 27 27 27 
n175_05.txt 1/1 104 104 104 104 104 104 104 104 104 104 
n175_05.txt 1/2 70 70 70 70 70 70 70 70 70 70 
n175_05.txt 1/3 52 52 52 52 52 52 52 52 52 52 
n175_05.txt 1/4 32 32 32 32 32 32 32 32 32 32 
n175_05.txt 1/5 15 15 15 15 15 15 15 15 15 15 
n200_01.txt 1/1 132 132 132 132 132 132 132 132 132 132 
n200_01.txt 1/2 96 96 96 96 96 96 96 96 96 96 
n200_01.txt 1/3 72 72 72 72 72 72 72 72 72 72 
n200_01.txt 1/4 57 57 57 57 57 57 57 57 57 57 
n200_01.txt 1/5 48 48 48 48 48 48 48 48 48 48 
n200_02.txt 1/1 113 113 113 113 113 113 113 113 113 113 
n200_02.txt 1/2 73 73 73 73 73 73 73 73 73 73 
n200_02.txt 1/3 33 33 33 33 33 33 33 33 33 33 
n200_02.txt 1/4 20 20 20 20 20 20 20 20 20 20 
n200_02.txt 1/5 3 3 3 3 3 3 3 3 3 3 
n200_03.txt 1/1 112 112 112 112 112 112 112 112 112 112 
n200_03.txt 1/2 69 69 69 69 69 69 69 69 69 69 
n200_03.txt 1/3 48 48 48 48 48 48 48 48 48 48 
n200_03.txt 1/4 36 36 36 36 36 36 36 36 36 36 
n200_03.txt 1/5 33 33 33 33 33 33 33 33 33 33 
n200_04.txt 1/1 117 117 117 117 117 117 117 117 117 117 
n200_04.txt 1/2 86 86 86 86 86 86 86 86 86 86 
n200_04.txt 1/3 58 58 58 58 58 58 58 58 58 58 
n200_04.txt 1/4 43 43 43 43 43 43 43 43 43 43 
n200_04.txt 1/5 28 28 28 28 28 28 28 28 28 28 
