filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n20_01.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n20_01.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n20_02.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n20_03.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n20_04.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n20_05.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n25_01.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n25_02.txt 1/1 2 2 2 2 2 2 2 2 2 2 
n25_02.txt 1/2 2 2 2 2 2 2 2 2 2 2 
n25_02.txt 1/3 2 2 2 2 2 2 2 2 2 2 
n25_02.txt 1/4 2 2 2 2 2 2 2 2 2 2 
n25_02.txt 1/5 2 2 2 2 2 2 2 2 2 2 
n25_03.txt 1/1 5 5 5 5 5 5 5 5 5 5 
n25_03.txt 1/2 5 5 5 5 5 5 5 5 5 5 
n25_03.txt 1/3 5 5 5 5 5 5 5 5 5 5 
n25_03.txt 1/4 5 5 5 5 5 5 5 5 5 5 
n25_03.txt 1/5 5 5 5 5 5 5 5 5 5 5 
n25_04.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n25_04.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 1/1 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n25_05.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n50_01.txt 1/1 16 16 16 16 16 16 16 16 16 16 
n50_01.txt 1/2 16 16 16 16 16 16 16 16 16 16 
n50_01.txt 1/3 16 16 16 16 16 16 16 16 16 16 
n50_01.txt 1/4 16 16 16 16 16 16 16 16 16 16 
n50_01.txt 1/5 16 16 16 16 16 16 16 16 16 16 
n50_02.txt 1/1 17 17 17 17 17 17 17 17 17 17 
n50_02.txt 1/2 17 17 17 17 17 17 17 17 17 17 
n50_02.txt 1/3 17 17 17 17 17 17 17 17 17 17 
n50_02.txt 1/4 17 17 17 17 17 17 17 17 17 17 
n50_02.txt 1/5 17 17 17 17 17 17 17 17 17 17 
n50_03.txt 1/1 7 7 7 7 7 7 7 7 7 7 
n50_03.txt 1/2 7 7 7 7 7 7 7 7 7 7 
n50_03.txt 1/3 7 7 7 7 7 7 7 7 7 7 
n50_03.txt 1/4 7 7 7 7 7 7 7 7 7 7 
n50_03.txt 1/5 7 7 7 7 7 7 7 7 7 7 
n50_04.txt 1/1 21 21 21 21 21 21 21 21 21 21 
n50_04.txt 1/2 21 21 21 21 21 21 21 21 21 21 
n50_04.txt 1/3 21 21 21 21 21 21 21 21 21 21 
n50_04.txt 1/4 21 21 21 21 21 21 21 21 21 21 
n50_04.txt 1/5 21 21 21 21 21 21 21 21 21 21 
n50_05.txt 1/1 17 17 17 17 17 17 17 17 17 17 
n50_05.txt 1/2 17 17 17 17 17 17 17 17 17 17 
n50_05.txt 1/3 17 17 17 17 17 17 17 17 17 17 
n50_05.txt 1/4 17 17 17 17 17 17 17 17 17 17 
n50_05.txt 1/5 17 17 17 17 17 17 17 17 17 17 
n75_01.txt 1/1 28 28 28 28 28 28 28 28 28 28 
n75_01.txt 1/2 28 28 28 28 28 28 28 28 28 28 
n75_01.txt 1/3 28 28 28 28 28 28 28 28 28 28 
n75_01.txt 1/4 28 28 28 28 28 28 28 28 28 28 
n75_01.txt 1/5 28 28 28 28 28 28 28 28 28 28 
n75_02.txt 1/1 44 44 44 44 44 44 44 44 44 44 
n75_02.txt 1/2 44 44 44 44 44 44 44 44 44 44 
n75_02.txt 1/3 44 44 44 44 44 44 44 44 44 44 
n75_02.txt 1/4 44 44 44 44 44 44 44 44 44 44 
n75_02.txt 1/5 44 44 44 44 44 44 44 44 44 44 
n75_03.txt 1/1 28 28 28 28 28 28 28 28 28 28 
n75_03.txt 1/2 28 28 28 28 28 28 28 28 28 28 
n75_03.txt 1/3 28 28 28 28 28 28 28 28 28 28 
n75_03.txt 1/4 28 28 28 28 28 28 28 28 28 28 
n75_03.txt 1/5 28 28 28 28 28 28 28 28 28 28 
n75_04.txt 1/1 29 29 29 29 29 29 29 29 29 29 
n75_04.txt 1/2 29 29 29 29 29 29 29 29 29 29 
n75_04.txt 1/3 29 29 29 29 29 29 29 29 29 29 
n75_04.txt 1/4 29 29 29 29 29 29 29 29 29 29 
n75_04.txt 1/5 29 29 29 29 29 29 29 29 29 29 
n75_05.txt 1/1 23 23 23 23 23 23 23 23 23 23 
n75_05.txt 1/2 23 23 23 23 23 23 23 23 23 23 
n75_05.txt 1/3 23 23 23 23 23 23 23 23 23 23 
n75_05.txt 1/4 23 23 23 23 23 23 23 23 23 23 
n75_05.txt 1/5 23 23 23 23 23 23 23 23 23 23 
n100_01.txt 1/1 45 45 45 45 45 45 45 45 45 45 
