filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 5.0 19 19 19 19 19 19 19 19 19 19 
g_300.txt 5.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 5.0 32 32 32 32 32 32 32 32 32 32 
g_400.txt 5.0 117 117 117 117 117 117 117 117 117 117 
g_450.txt 5.0 245 245 245 245 245 245 245 245 245 245 
g_475.txt 5.0 246 246 246 246 246 246 246 246 246 246 
g_500.txt 5.0 313 313 313 313 313 313 313 313 313 313 
g_250.txt 10.0 9 11 11 11 11 11 11 11 11 11 
g_300.txt 10.0 4 4 4 4 4 4 4 4 4 4 
g_350.txt 10.0 19 19 19 19 19 19 19 19 19 19 
g_400.txt 10.0 103 103 103 103 103 103 103 103 103 103 
g_450.txt 10.0 231 231 231 231 231 231 231 231 231 231 
g_475.txt 10.0 233 233 233 233 233 233 233 233 233 233 
g_500.txt 10.0 297 297 297 297 297 297 297 297 297 297 
g_250.txt 15.0 8 5 5 5 5 5 5 5 5 5 
g_300.txt 15.0 3 3 3 3 3 3 3 3 3 3 
g_350.txt 15.0 10 10 10 10 10 10 10 10 10 10 
g_400.txt 15.0 89 89 89 89 89 89 89 89 89 89 
g_450.txt 15.0 216 216 216 216 216 216 216 216 216 216 
g_475.txt 15.0 220 220 220 220 220 220 220 220 220 220 
g_500.txt 15.0 283 283 283 283 283 283 283 283 283 283 
g_250.txt 20.0 4 4 4 4 4 4 4 4 4 4 
g_300.txt 20.0 1 1 1 1 1 1 1 1 1 1 
g_350.txt 20.0 11 11 11 11 11 11 11 11 11 11 
g_400.txt 20.0 79 79 79 79 79 79 79 79 79 79 
g_450.txt 20.0 203 203 203 203 203 203 203 203 203 203 
g_475.txt 20.0 205 205 205 205 205 205 205 205 205 205 
g_500.txt 20.0 269 269 269 269 269 269 269 269 269 269 
g_250.txt 25.0 4 3 3 3 3 3 3 3 3 3 
g_300.txt 25.0 1 1 1 1 1 1 1 1 1 1 
g_350.txt 25.0 10 10 10 10 10 10 10 10 10 10 
g_400.txt 25.0 71 71 71 71 71 71 71 71 71 71 
g_450.txt 25.0 192 192 192 192 192 192 192 192 192 192 
g_475.txt 25.0 196 196 196 196 196 196 196 196 196 196 
g_500.txt 25.0 259 259 259 259 259 259 259 259 259 259 
