filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 2.0 27 26 26 26 26 26 26 26 26 26 
g_300.txt 2.0 7 7 7 7 7 7 7 7 7 7 
g_350.txt 2.0 44 44 44 44 44 44 44 44 44 44 
g_400.txt 2.0 147 147 147 147 147 147 147 147 147 147 
g_450.txt 2.0 256 256 256 256 256 256 256 256 256 256 
g_475.txt 2.0 257 257 257 257 257 257 257 257 257 257 
g_500.txt 2.0 306 306 306 306 306 306 306 306 306 306 
g_250.txt 5.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 5.0 7 7 7 7 7 7 7 7 7 7 
g_350.txt 5.0 43 43 43 43 43 43 43 43 43 43 
g_400.txt 5.0 147 147 147 147 147 147 147 147 147 147 
g_450.txt 5.0 256 256 256 256 256 256 256 256 256 256 
g_475.txt 5.0 258 258 258 258 258 258 258 258 258 258 
g_500.txt 5.0 303 303 303 303 303 303 303 303 303 303 
g_250.txt 7.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 7.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 7.0 43 43 43 43 43 43 43 43 43 43 
g_400.txt 7.0 143 143 143 143 143 143 143 143 143 143 
g_450.txt 7.0 256 256 256 256 256 256 256 256 256 256 
g_475.txt 7.0 255 255 255 255 255 255 255 255 255 255 
g_500.txt 7.0 306 306 306 306 306 306 306 306 306 306 
g_250.txt 10.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 10.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 10.0 43 43 43 43 43 43 43 43 43 43 
g_400.txt 10.0 144 144 144 144 144 144 144 144 144 144 
g_450.txt 10.0 255 255 255 255 255 255 255 255 255 255 
g_475.txt 10.0 256 256 256 256 256 256 256 256 256 256 
g_500.txt 10.0 304 304 304 304 304 304 304 304 304 304 
g_250.txt 15.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 15.0 4 4 4 4 4 4 4 4 4 4 
g_350.txt 15.0 42 42 42 42 42 42 42 42 42 42 
g_400.txt 15.0 141 141 141 141 141 141 141 141 141 141 
g_450.txt 15.0 255 255 255 255 255 255 255 255 255 255 
g_475.txt 15.0 257 257 257 257 257 257 257 257 257 257 
g_500.txt 15.0 303 303 303 303 303 303 303 303 303 303 
g_250.txt 20.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 20.0 4 4 4 4 4 4 4 4 4 4 
g_350.txt 20.0 41 41 41 41 41 41 41 41 41 41 
g_400.txt 20.0 141 141 141 141 141 141 141 141 141 141 
g_450.txt 20.0 255 255 255 255 255 255 255 255 255 255 
g_475.txt 20.0 257 257 257 257 257 257 257 257 257 257 
g_500.txt 20.0 301 301 301 301 301 301 301 301 301 301 
