filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 2.0 1 2 2 2 2 2 2 2 2 2 
g_150.txt 2.0 10 10 10 10 10 10 10 10 10 10 
g_160.txt 2.0 25 25 25 25 25 25 25 25 25 25 
g_175.txt 2.0 17 17 17 17 17 17 17 17 17 17 
g_190.txt 2.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 2.0 9 9 9 9 9 9 9 9 9 9 
g_125.txt 5.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 5.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 5.0 26 26 26 26 26 26 26 26 26 26 
g_175.txt 5.0 17 17 17 17 17 17 17 17 17 17 
g_190.txt 5.0 15 15 15 15 15 15 15 15 15 15 
g_200.txt 5.0 12 12 12 12 12 12 12 12 12 12 
g_125.txt 7.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 7.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 7.0 24 24 24 24 24 24 24 24 24 24 
g_175.txt 7.0 17 17 17 17 17 17 17 17 17 17 
g_190.txt 7.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 7.0 13 13 13 13 13 13 13 13 13 13 
g_125.txt 10.0 2 2 2 2 2 2 2 2 2 2 
g_150.txt 10.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 10.0 24 24 24 24 24 24 24 24 24 24 
g_175.txt 10.0 15 15 15 15 15 15 15 15 15 15 
g_190.txt 10.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 10.0 13 13 13 13 13 13 13 13 13 13 
g_125.txt 15.0 2 2 2 2 2 2 2 2 2 2 
g_150.txt 15.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 15.0 25 25 25 25 25 25 25 25 25 25 
g_175.txt 15.0 16 16 16 16 16 16 16 16 16 16 
g_190.txt 15.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 15.0 13 13 13 13 13 13 13 13 13 13 
g_125.txt 20.0 2 2 2 2 2 2 2 2 2 2 
g_150.txt 20.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 20.0 23 23 23 23 23 23 23 23 23 23 
g_175.txt 20.0 16 16 16 16 16 16 16 16 16 16 
g_190.txt 20.0 16 16 16 16 16 16 16 16 16 16 
g_200.txt 20.0 11 11 11 11 11 11 11 11 11 11 
