filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 32000.0 2 2 2 2 2 2 2 2 2 2 
g_300.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_350.txt 32000.0 2 2 2 2 2 2 2 2 2 2 
g_400.txt 32000.0 47 47 47 47 47 47 47 47 47 47 
g_450.txt 32000.0 140 140 140 140 140 140 140 140 140 140 
g_475.txt 32000.0 123 123 123 123 123 123 123 123 123 123 
g_500.txt 32000.0 156 156 156 156 156 156 156 156 156 156 
g_250.txt 72000.0 27 27 27 27 27 27 27 27 27 27 
g_300.txt 72000.0 7 7 7 7 7 7 7 7 7 7 
g_350.txt 72000.0 43 43 43 43 43 43 43 43 43 43 
g_400.txt 72000.0 147 147 147 147 147 147 147 147 147 147 
g_450.txt 72000.0 256 256 256 256 256 256 256 256 256 256 
g_475.txt 72000.0 258 258 258 258 258 258 258 258 258 258 
g_500.txt 72000.0 303 303 303 303 303 303 303 303 303 303 
g_250.txt 86400.0 40 40 40 40 40 40 40 40 40 40 
g_300.txt 86400.0 15 15 15 15 15 15 15 15 15 15 
g_350.txt 86400.0 55 55 55 55 55 55 55 55 55 55 
g_400.txt 86400.0 167 167 167 167 167 167 167 167 167 167 
g_450.txt 86400.0 278 278 278 278 278 278 278 278 278 278 
g_475.txt 86400.0 278 278 278 278 278 278 278 278 278 278 
g_500.txt 86400.0 332 332 332 332 332 332 332 332 332 332 
g_250.txt 129600.0 69 69 69 69 69 69 69 69 69 69 
g_300.txt 129600.0 46 46 46 46 46 46 46 46 46 46 
g_350.txt 129600.0 104 104 104 104 104 104 104 104 104 104 
g_400.txt 129600.0 227 227 227 227 227 227 227 227 227 227 
g_450.txt 129600.0 310 310 310 310 310 310 310 310 310 310 
g_475.txt 129600.0 340 340 340 340 340 340 340 340 340 340 
g_500.txt 129600.0 385 385 385 385 385 385 385 385 385 385 
g_250.txt 172800.0 97 97 97 97 97 97 97 97 97 97 
g_300.txt 172800.0 76 76 76 76 76 76 76 76 76 76 
g_350.txt 172800.0 139 139 139 139 139 139 139 139 139 139 
g_400.txt 172800.0 252 252 252 252 252 252 252 252 252 252 
g_450.txt 172800.0 336 336 336 336 336 336 336 336 336 336 
g_475.txt 172800.0 368 368 368 368 368 368 368 368 368 368 
g_500.txt 172800.0 407 407 407 407 407 407 407 407 407 407 
g_250.txt 216000.0 103 103 103 103 103 103 103 103 103 103 
g_300.txt 216000.0 99 99 99 99 99 99 99 99 99 99 
g_350.txt 216000.0 152 152 152 152 152 152 152 152 152 152 
g_400.txt 216000.0 266 266 266 266 266 266 266 266 266 266 
g_450.txt 216000.0 355 355 355 355 355 355 355 355 355 355 
g_475.txt 216000.0 383 383 383 383 383 383 383 383 383 383 
g_500.txt 216000.0 415 415 415 415 415 415 415 415 415 415 
g_250.txt 720000.0 172 157 157 157 157 157 157 157 157 157 
g_300.txt 720000.0 172 172 172 172 172 172 172 172 172 172 
g_350.txt 720000.0 237 237 237 237 237 237 237 237 237 237 
g_400.txt 720000.0 317 317 317 317 317 317 317 317 317 317 
g_450.txt 720000.0 412 412 412 412 412 412 412 412 412 412 
g_475.txt 720000.0 414 414 414 414 414 414 414 414 414 414 
g_500.txt 720000.0 463 463 463 463 463 463 463 463 463 463 
