filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 32000.0 1 1 1 1 1 1 1 1 1 1 
g_190.txt 32000.0 4 4 4 4 4 4 4 4 4 4 
g_200.txt 32000.0 1 1 1 1 1 1 1 1 1 1 
g_125.txt 72000.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 72000.0 1 1 1 1 1 1 1 1 1 1 
g_160.txt 72000.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 72000.0 9 9 9 9 9 9 9 9 9 9 
g_190.txt 72000.0 28 28 28 28 28 28 28 28 28 28 
g_200.txt 72000.0 20 20 20 20 20 20 20 20 20 20 
g_125.txt 86400.0 3 3 3 3 3 3 3 3 3 3 
g_150.txt 86400.0 5 5 5 5 5 5 5 5 5 5 
g_160.txt 86400.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 86400.0 19 19 19 19 19 19 19 19 19 19 
g_190.txt 86400.0 38 38 38 38 38 38 38 38 38 38 
g_200.txt 86400.0 25 25 25 25 25 25 25 25 25 25 
g_125.txt 129600.0 10 10 10 10 10 10 10 10 10 10 
g_150.txt 129600.0 20 20 20 20 20 20 20 20 20 20 
g_160.txt 129600.0 7 7 7 7 7 7 7 7 7 7 
g_175.txt 129600.0 31 31 31 31 31 31 31 31 31 31 
g_190.txt 129600.0 50 50 50 50 50 50 50 50 50 50 
g_200.txt 129600.0 48 48 48 48 48 48 48 48 48 48 
g_125.txt 172800.0 17 18 18 18 18 18 18 18 18 18 
g_150.txt 172800.0 27 27 27 27 27 27 27 27 27 27 
g_160.txt 172800.0 21 21 21 21 21 21 21 21 21 21 
g_175.txt 172800.0 48 48 48 48 48 48 48 48 48 48 
g_190.txt 172800.0 66 66 66 66 66 66 66 66 66 66 
g_200.txt 172800.0 64 64 64 64 64 64 64 64 64 64 
g_125.txt 216000.0 21 20 20 20 20 20 20 20 20 20 
g_150.txt 216000.0 33 33 33 33 33 33 33 33 33 33 
g_160.txt 216000.0 30 30 30 30 30 30 30 30 30 30 
g_175.txt 216000.0 57 57 57 57 57 57 57 57 57 57 
g_190.txt 216000.0 78 78 78 78 78 78 78 78 78 78 
g_200.txt 216000.0 72 72 72 72 72 72 72 72 72 72 
g_125.txt 720000.0 66 61 61 61 61 61 61 61 61 61 
g_150.txt 720000.0 80 80 80 80 80 80 80 80 80 80 
g_160.txt 720000.0 89 89 89 89 89 89 89 89 89 89 
g_175.txt 720000.0 111 111 111 111 111 111 111 111 111 111 
g_190.txt 720000.0 116 116 116 116 116 116 116 116 116 116 
g_200.txt 720000.0 133 133 133 133 133 133 133 133 133 133 
