filename U E #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 5.0 27000.0 23 24 24 24 24 24 24 24 24 24 
g_300.txt 5.0 27000.0 16 16 16 16 16 16 16 16 16 16 
g_350.txt 5.0 27000.0 30 30 30 30 30 30 30 30 30 30 
g_400.txt 5.0 27000.0 120 120 120 120 120 120 120 120 120 120 
g_450.txt 5.0 27000.0 246 246 246 246 246 246 246 246 246 246 
g_475.txt 5.0 27000.0 248 248 248 248 248 248 248 248 248 248 
g_500.txt 5.0 27000.0 314 314 314 314 314 314 314 314 314 314 
g_250.txt 5.0 54000.0 19 19 19 19 19 19 19 19 19 19 
g_300.txt 5.0 54000.0 13 13 13 13 13 13 13 13 13 13 
g_350.txt 5.0 54000.0 33 33 33 33 33 33 33 33 33 33 
g_400.txt 5.0 54000.0 119 119 119 119 119 119 119 119 119 119 
g_450.txt 5.0 54000.0 244 244 244 244 244 244 244 244 244 244 
g_475.txt 5.0 54000.0 247 247 247 247 247 247 247 247 247 247 
g_500.txt 5.0 54000.0 312 312 312 312 312 312 312 312 312 312 
g_250.txt 5.0 108000.0 19 19 19 19 19 19 19 19 19 19 
g_300.txt 5.0 108000.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 5.0 108000.0 32 32 32 32 32 32 32 32 32 32 
g_400.txt 5.0 108000.0 117 117 117 117 117 117 117 117 117 117 
g_450.txt 5.0 108000.0 245 245 245 245 245 245 245 245 245 245 
g_475.txt 5.0 108000.0 246 246 246 246 246 246 246 246 246 246 
g_500.txt 5.0 108000.0 313 313 313 313 313 313 313 313 313 313 
g_250.txt 5.0 216000.0 19 19 19 19 19 19 19 19 19 19 
g_300.txt 5.0 216000.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 5.0 216000.0 30 30 30 30 30 30 30 30 30 30 
g_400.txt 5.0 216000.0 117 117 117 117 117 117 117 117 117 117 
g_450.txt 5.0 216000.0 245 245 245 245 245 245 245 245 245 245 
g_475.txt 5.0 216000.0 248 248 248 248 248 248 248 248 248 248 
g_500.txt 5.0 216000.0 314 314 314 314 314 314 314 314 314 314 
g_250.txt 5.0 432000.0 18 18 18 18 18 18 18 18 18 18 
g_300.txt 5.0 432000.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 5.0 432000.0 31 31 31 31 31 31 31 31 31 31 
g_400.txt 5.0 432000.0 117 117 117 117 117 117 117 117 117 117 
g_450.txt 5.0 432000.0 244 244 244 244 244 244 244 244 244 244 
g_475.txt 5.0 432000.0 246 246 246 246 246 246 246 246 246 246 
g_500.txt 5.0 432000.0 313 313 313 313 313 313 313 313 313 313 
g_250.txt 5.0 560000.0 18 18 18 18 18 18 18 18 18 18 
g_300.txt 5.0 560000.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 5.0 560000.0 31 31 31 31 31 31 31 31 31 31 
g_400.txt 5.0 560000.0 117 117 117 117 117 117 117 117 117 117 
g_450.txt 5.0 560000.0 244 244 244 244 244 244 244 244 244 244 
g_475.txt 5.0 560000.0 246 246 246 246 246 246 246 246 246 246 
g_500.txt 5.0 560000.0 313 313 313 313 313 313 313 313 313 313 
g_250.txt 10.0 27000.0 15 16 16 16 16 16 16 16 16 16 
g_300.txt 10.0 27000.0 8 8 8 8 8 8 8 8 8 8 
g_350.txt 10.0 27000.0 23 23 23 23 23 23 23 23 23 23 
g_400.txt 10.0 27000.0 107 107 107 107 107 107 107 107 107 107 
g_450.txt 10.0 27000.0 231 231 231 231 231 231 231 231 231 231 
g_475.txt 10.0 27000.0 236 236 236 236 236 236 236 236 236 236 
g_500.txt 10.0 27000.0 298 298 298 298 298 298 298 298 298 298 
g_250.txt 10.0 54000.0 13 14 14 14 14 14 14 14 14 14 
g_300.txt 10.0 54000.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 10.0 54000.0 22 22 22 22 22 22 22 22 22 22 
g_400.txt 10.0 54000.0 106 106 106 106 106 106 106 106 106 106 
g_450.txt 10.0 54000.0 229 229 229 229 229 229 229 229 229 229 
g_475.txt 10.0 54000.0 231 231 231 231 231 231 231 231 231 231 
g_500.txt 10.0 54000.0 298 298 298 298 298 298 298 298 298 298 
g_250.txt 10.0 108000.0 9 11 11 11 11 11 11 11 11 11 
