filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 5.0 44 44 44 44 44 44 44 44 44 44 
g_300.txt 5.0 50 50 50 50 50 50 50 50 50 50 
g_350.txt 5.0 75 75 75 75 75 75 75 75 75 75 
g_400.txt 5.0 177 177 177 177 177 177 177 177 177 177 
g_450.txt 5.0 263 263 263 263 263 263 263 263 263 263 
g_475.txt 5.0 305 305 305 305 305 305 305 305 305 305 
g_500.txt 5.0 346 346 346 346 346 346 346 346 346 346 
g_250.txt 10.0 31 31 31 31 31 31 31 31 31 31 
g_300.txt 10.0 34 34 34 34 34 34 34 34 34 34 
g_350.txt 10.0 59 59 59 59 59 59 59 59 59 59 
g_400.txt 10.0 164 164 164 164 164 164 164 164 164 164 
g_450.txt 10.0 250 250 250 250 250 250 250 250 250 250 
g_475.txt 10.0 288 288 288 288 288 288 288 288 288 288 
g_500.txt 10.0 333 333 333 333 333 333 333 333 333 333 
g_250.txt 15.0 20 21 21 21 21 21 21 21 21 21 
g_300.txt 15.0 26 26 26 26 26 26 26 26 26 26 
g_350.txt 15.0 49 49 49 49 49 49 49 49 49 49 
g_400.txt 15.0 148 148 148 148 148 148 148 148 148 148 
g_450.txt 15.0 234 234 234 234 234 234 234 234 234 234 
g_475.txt 15.0 275 275 275 275 275 275 275 275 275 275 
g_500.txt 15.0 319 319 319 319 319 319 319 319 319 319 
g_250.txt 20.0 13 12 12 12 12 12 12 12 12 12 
g_300.txt 20.0 17 17 17 17 17 17 17 17 17 17 
g_350.txt 20.0 39 39 39 39 39 39 39 39 39 39 
g_400.txt 20.0 135 135 135 135 135 135 135 135 135 135 
g_450.txt 20.0 221 221 221 221 221 221 221 221 221 221 
g_475.txt 20.0 264 264 264 264 264 264 264 264 264 264 
g_500.txt 20.0 306 306 306 306 306 306 306 306 306 306 
g_250.txt 25.0 12 15 15 15 15 15 15 15 15 15 
g_300.txt 25.0 12 12 12 12 12 12 12 12 12 12 
g_350.txt 25.0 32 32 32 32 32 32 32 32 32 32 
g_400.txt 25.0 125 125 125 125 125 125 125 125 125 125 
g_450.txt 25.0 214 214 214 214 214 214 214 214 214 214 
g_475.txt 25.0 254 254 254 254 254 254 254 254 254 254 
g_500.txt 25.0 296 296 296 296 296 296 296 296 296 296 
