filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_125.txt 72000.0 1 1 1 1 1 1 1 1 1 1 
g_125.txt 86400.0 5 5 5 5 5 5 5 5 5 5 
g_125.txt 129600.0 20 20 20 20 20 20 20 20 20 20 
g_125.txt 172800.0 27 27 27 27 27 27 27 27 27 27 
g_125.txt 216000.0 32 32 32 32 32 32 32 32 32 32 
g_125.txt 720000.0 87 87 87 87 87 87 87 87 87 87 
g_150.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 72000.0 13 13 13 13 13 13 13 13 13 13 
g_150.txt 86400.0 17 17 17 17 17 17 17 17 17 17 
g_150.txt 129600.0 27 27 27 27 27 27 27 27 27 27 
g_150.txt 172800.0 36 36 36 36 36 36 36 36 36 36 
g_150.txt 216000.0 42 42 42 42 42 42 42 42 42 42 
g_150.txt 720000.0 73 73 73 73 73 73 73 73 73 73 
g_160.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 72000.0 11 11 11 11 11 11 11 11 11 11 
g_160.txt 86400.0 16 16 16 16 16 16 16 16 16 16 
g_160.txt 129600.0 26 26 26 26 26 26 26 26 26 26 
g_160.txt 172800.0 38 38 38 38 38 38 38 38 38 38 
g_160.txt 216000.0 49 49 49 49 49 49 49 49 49 49 
g_160.txt 720000.0 148 148 148 148 148 148 148 148 148 148 
g_175.txt 32000.0 6 6 6 6 6 6 6 6 6 6 
g_175.txt 72000.0 30 30 30 30 30 30 30 30 30 30 
g_175.txt 86400.0 34 34 34 34 34 34 34 34 34 34 
g_175.txt 129600.0 50 50 50 50 50 50 50 50 50 50 
g_175.txt 172800.0 62 62 62 62 62 62 62 62 62 62 
g_175.txt 216000.0 74 74 74 74 74 74 74 74 74 74 
g_175.txt 720000.0 172 172 172 172 172 172 172 172 172 172 
g_190.txt 32000.0 11 11 11 11 11 11 11 11 11 11 
g_190.txt 72000.0 30 30 30 30 30 30 30 30 30 30 
g_190.txt 86400.0 34 34 34 34 34 34 34 34 34 34 
g_190.txt 129600.0 54 54 54 54 54 54 54 54 54 54 
g_190.txt 172800.0 73 73 73 73 73 73 73 73 73 73 
g_190.txt 216000.0 84 84 84 84 84 84 84 84 84 84 
g_190.txt 720000.0 189 189 189 189 189 189 189 189 189 189 
g_200.txt 32000.0 10 10 10 10 10 10 10 10 10 10 
g_200.txt 72000.0 40 40 40 40 40 40 40 40 40 40 
g_200.txt 86400.0 43 43 43 43 43 43 43 43 43 43 
g_200.txt 129600.0 58 58 58 58 58 58 58 58 58 58 
g_200.txt 172800.0 82 82 82 82 82 82 82 82 82 82 
g_200.txt 216000.0 97 97 97 97 97 97 97 97 97 97 
g_200.txt 720000.0 199 199 199 199 199 199 199 199 199 199 
