filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 1.0 42 39 39 39 39 39 39 39 39 39 
g_250.txt 1.5 78 78 78 78 78 78 78 78 78 78 
g_250.txt 2.0 91 91 91 91 91 91 91 91 91 91 
g_250.txt 2.5 114 114 114 114 114 114 114 114 114 114 
g_250.txt 3.0 138 138 138 138 138 138 138 138 138 138 
g_250.txt 3.5 151 151 151 151 151 151 151 151 151 151 
g_250.txt 4.0 164 164 164 164 164 164 164 164 164 164 
g_300.txt 1.0 48 48 48 48 48 48 48 48 48 48 
g_300.txt 1.5 81 81 81 81 81 81 81 81 81 81 
g_300.txt 2.0 128 128 128 128 128 128 128 128 128 128 
g_300.txt 2.5 151 151 151 151 151 151 151 151 151 151 
g_300.txt 3.0 169 169 169 169 169 169 169 169 169 169 
g_300.txt 3.5 181 181 181 181 181 181 181 181 181 181 
g_300.txt 4.0 193 193 193 193 193 193 193 193 193 193 
g_350.txt 1.0 77 77 77 77 77 77 77 77 77 77 
g_350.txt 1.5 139 139 139 139 139 139 139 139 139 139 
g_350.txt 2.0 179 179 179 179 179 179 179 179 179 179 
g_350.txt 2.5 210 210 210 210 210 210 210 210 210 210 
g_350.txt 3.0 234 234 234 234 234 234 234 234 234 234 
g_350.txt 3.5 245 245 245 245 245 245 245 245 245 245 
g_350.txt 4.0 266 266 266 266 266 266 266 266 266 266 
g_400.txt 1.0 178 178 178 178 178 178 178 178 178 178 
g_400.txt 1.5 240 240 240 240 240 240 240 240 240 240 
g_400.txt 2.0 274 274 274 274 274 274 274 274 274 274 
g_400.txt 2.5 300 300 300 300 300 300 300 300 300 300 
g_400.txt 3.0 317 317 317 317 317 317 317 317 317 317 
g_400.txt 3.5 331 331 331 331 331 331 331 331 331 331 
g_400.txt 4.0 342 342 342 342 342 342 342 342 342 342 
g_450.txt 1.0 263 263 263 263 263 263 263 263 263 263 
g_450.txt 1.5 321 321 321 321 321 321 321 321 321 321 
g_450.txt 2.0 356 356 356 356 356 356 356 356 356 356 
g_450.txt 2.5 387 387 387 387 387 387 387 387 387 387 
g_450.txt 3.0 399 399 399 399 399 399 399 399 399 399 
g_450.txt 3.5 407 407 407 407 407 407 407 407 407 407 
g_450.txt 4.0 412 412 412 412 412 412 412 412 412 412 
g_475.txt 1.0 304 304 304 304 304 304 304 304 304 304 
g_475.txt 1.5 359 359 359 359 359 359 359 359 359 359 
g_475.txt 2.0 387 387 387 387 387 387 387 387 387 387 
g_475.txt 2.5 407 407 407 407 407 407 407 407 407 407 
g_475.txt 3.0 418 418 418 418 418 418 418 418 418 418 
g_475.txt 3.5 423 423 423 423 423 423 423 423 423 423 
g_475.txt 4.0 436 436 436 436 436 436 436 436 436 436 
g_500.txt 1.0 347 347 347 347 347 347 347 347 347 347 
g_500.txt 1.5 390 390 390 390 390 390 390 390 390 390 
g_500.txt 2.0 415 415 415 415 415 415 415 415 415 415 
g_500.txt 2.5 435 435 435 435 435 435 435 435 435 435 
g_500.txt 3.0 448 448 448 448 448 448 448 448 448 448 
g_500.txt 3.5 461 461 461 461 461 461 461 461 461 461 
g_500.txt 4.0 462 462 462 462 462 462 462 462 462 462 
