filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 1.0 2 2 2 2 2 2 2 2 2 2 
g_125.txt 1.5 12 12 12 12 12 12 12 12 12 12 
g_125.txt 2.0 35 35 35 35 35 35 35 35 35 35 
g_125.txt 2.5 42 42 42 42 42 42 42 42 42 42 
g_125.txt 3.0 50 50 50 50 50 50 50 50 50 50 
g_125.txt 3.5 59 59 59 59 59 59 59 59 59 59 
g_125.txt 4.0 68 68 68 68 68 68 68 68 68 68 
g_150.txt 1.0 9 9 9 9 9 9 9 9 9 9 
g_150.txt 1.5 20 20 20 20 20 20 20 20 20 20 
g_150.txt 2.0 38 38 38 38 38 38 38 38 38 38 
g_150.txt 2.5 51 51 51 51 51 51 51 51 51 51 
g_150.txt 3.0 62 62 62 62 62 62 62 62 62 62 
g_150.txt 3.5 79 79 79 79 79 79 79 79 79 79 
g_150.txt 4.0 87 87 87 87 87 87 87 87 87 87 
g_160.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 1.5 7 7 7 7 7 7 7 7 7 7 
g_160.txt 2.0 29 29 29 29 29 29 29 29 29 29 
g_160.txt 2.5 42 42 42 42 42 42 42 42 42 42 
g_160.txt 3.0 53 53 53 53 53 53 53 53 53 53 
g_160.txt 3.5 72 72 72 72 72 72 72 72 72 72 
g_160.txt 4.0 79 79 79 79 79 79 79 79 79 79 
g_175.txt 1.0 10 10 10 10 10 10 10 10 10 10 
g_175.txt 1.5 41 41 41 41 41 41 41 41 41 41 
g_175.txt 2.0 54 54 54 54 54 54 54 54 54 54 
g_175.txt 2.5 74 74 74 74 74 74 74 74 74 74 
g_175.txt 3.0 88 88 88 88 88 88 88 88 88 88 
g_175.txt 3.5 97 97 97 97 97 97 97 97 97 97 
g_175.txt 4.0 107 107 107 107 107 107 107 107 107 107 
g_190.txt 1.0 26 26 26 26 26 26 26 26 26 26 
g_190.txt 1.5 50 50 50 50 50 50 50 50 50 50 
g_190.txt 2.0 79 79 79 79 79 79 79 79 79 79 
g_190.txt 2.5 88 88 88 88 88 88 88 88 88 88 
g_190.txt 3.0 107 107 107 107 107 107 107 107 107 107 
g_190.txt 3.5 119 119 119 119 119 119 119 119 119 119 
g_190.txt 4.0 127 127 127 127 127 127 127 127 127 127 
g_200.txt 1.0 20 20 20 20 20 20 20 20 20 20 
g_200.txt 1.5 39 39 39 39 39 39 39 39 39 39 
g_200.txt 2.0 75 75 75 75 75 75 75 75 75 75 
g_200.txt 2.5 86 86 86 86 86 86 86 86 86 86 
g_200.txt 3.0 98 98 98 98 98 98 98 98 98 98 
g_200.txt 3.5 114 114 114 114 114 114 114 114 114 114 
g_200.txt 4.0 133 133 133 133 133 133 133 133 133 133 
