filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n75_01.txt 1/2 4 4 4 4 4 4 4 4 4 4 
n75_01.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n75_01.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n75_01.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n75_02.txt 1/2 25 25 25 25 25 25 25 25 25 25 
n75_02.txt 1/3 15 15 15 15 15 15 15 15 15 15 
n75_02.txt 1/4 5 5 5 5 5 5 5 5 5 5 
n75_02.txt 1/5 5 5 5 5 5 5 5 5 5 5 
n75_03.txt 1/2 16 16 16 16 16 16 16 16 16 16 
n75_03.txt 1/3 10 10 10 10 10 10 10 10 10 10 
n75_03.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n75_03.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n75_04.txt 1/2 12 12 12 12 12 12 12 12 12 12 
n75_04.txt 1/3 8 8 8 8 8 8 8 8 8 8 
n75_04.txt 1/4 5 5 5 5 5 5 5 5 5 5 
n75_04.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n75_05.txt 1/2 0 0 0 0 0 0 0 0 0 0 
n75_05.txt 1/3 0 0 0 0 0 0 0 0 0 0 
n75_05.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n75_05.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n100_01.txt 1/2 22 22 22 22 22 22 22 22 22 22 
n100_01.txt 1/3 7 7 7 7 7 7 7 7 7 7 
n100_01.txt 1/4 2 2 2 2 2 2 2 2 2 2 
n100_01.txt 1/5 1 1 1 1 1 1 1 1 1 1 
n100_02.txt 1/2 29 29 29 29 29 29 29 29 29 29 
n100_02.txt 1/3 17 17 17 17 17 17 17 17 17 17 
n100_02.txt 1/4 11 11 11 11 11 11 11 11 11 11 
n100_02.txt 1/5 3 3 3 3 3 3 3 3 3 3 
n100_03.txt 1/2 27 27 27 27 27 27 27 27 27 27 
n100_03.txt 1/3 7 7 7 7 7 7 7 7 7 7 
n100_03.txt 1/4 2 2 2 2 2 2 2 2 2 2 
n100_03.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n100_04.txt 1/2 34 34 34 34 34 34 34 34 34 34 
n100_04.txt 1/3 22 22 22 22 22 22 22 22 22 22 
n100_04.txt 1/4 12 12 12 12 12 12 12 12 12 12 
n100_04.txt 1/5 4 4 4 4 4 4 4 4 4 4 
n100_05.txt 1/2 17 17 17 17 17 17 17 17 17 17 
n100_05.txt 1/3 8 8 8 8 8 8 8 8 8 8 
n100_05.txt 1/4 0 0 0 0 0 0 0 0 0 0 
n100_05.txt 1/5 0 0 0 0 0 0 0 0 0 0 
