filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n25_01_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_02_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_03_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_04_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_05_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_06_simulated.txt 1 1 1 1 0 1 1 1 1 1 
n25_07_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_08_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_09_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n25_010_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n50_01_simulated.txt 0 1 0 2 0 2 2 0 0 1 
n50_02_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n50_03_simulated.txt 6 7 6 8 7 5 7 5 9 7 
n50_04_simulated.txt 2 1 2 5 4 2 2 1 5 4 
n50_05_simulated.txt 0 0 0 0 0 0 0 0 0 0 
n50_06_simulated.txt 12 12 14 11 13 14 13 13 13 13 
n50_07_simulated.txt 3 2 2 4 3 3 2 4 3 2 
n50_08_simulated.txt 11 15 12 13 13 12 12 13 12 11 
n50_09_simulated.txt 5 3 3 6 5 3 3 3 5 1 
n50_010_simulated.txt 6 6 9 8 6 7 6 6 7 7 
n75_01_simulated.txt 5 4 4 3 7 5 5 4 4 6 
n75_02_simulated.txt 5 10 8 5 6 6 6 6 7 6 
n75_03_simulated.txt 4 10 7 7 8 10 7 5 5 11 
n75_04_simulated.txt 11 9 10 12 11 12 11 14 11 14 
n75_05_simulated.txt 15 12 11 9 9 7 11 10 10 10 
n75_06_simulated.txt 12 14 12 13 12 12 9 11 10 9 
n75_07_simulated.txt 8 8 10 8 8 8 8 9 8 9 
n75_08_simulated.txt 5 4 5 4 6 4 2 5 5 5 
n75_09_simulated.txt 10 10 10 8 15 9 14 10 10 10 
n75_010_simulated.txt 8 8 11 8 9 10 11 11 8 12 
n100_01_simulated.txt 35 40 38 45 35 34 38 39 35 40 
n100_02_simulated.txt 32 33 30 32 34 33 35 31 36 36 
n100_03_simulated.txt 36 30 36 34 33 36 35 36 34 38 
n100_04_simulated.txt 19 24 19 19 21 20 20 20 19 21 
n100_05_simulated.txt 28 31 32 30 30 30 27 29 29 28 
n100_06_simulated.txt 6 6 6 7 6 6 9 9 7 5 
n100_07_simulated.txt 20 24 21 20 24 20 22 19 22 19 
n100_08_simulated.txt 31 35 35 33 38 34 36 31 35 33 
n100_09_simulated.txt 15 15 18 14 15 16 16 19 15 19 
n100_010_simulated.txt 36 40 37 38 37 36 39 38 37 39 
