filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01_simulated.txt 2.0 26 26 26 26 26 26 26 26 26 26 
n125_01_simulated.txt 5.0 20 20 20 20 20 20 20 20 20 20 
n125_01_simulated.txt 10.0 15 15 15 15 15 15 15 15 15 15 
n125_01_simulated.txt 15.0 11 11 11 11 11 11 11 11 11 11 
n125_01_simulated.txt 20.0 9 9 9 9 9 9 9 9 9 9 
n125_01_simulated.txt 25.0 5 5 5 5 5 5 5 5 5 5 
n125_02_simulated.txt 2.0 41 41 41 41 41 41 41 41 41 41 
n125_02_simulated.txt 5.0 28 28 28 28 28 28 28 28 28 28 
n125_02_simulated.txt 10.0 19 19 19 19 19 19 19 19 19 19 
n125_02_simulated.txt 15.0 15 15 15 15 15 15 15 15 15 15 
n125_02_simulated.txt 20.0 16 16 16 16 16 16 16 16 16 16 
n125_02_simulated.txt 25.0 10 10 10 10 10 10 10 10 10 10 
n125_03_simulated.txt 2.0 46 46 46 46 46 46 46 46 46 46 
n125_03_simulated.txt 5.0 40 40 40 40 40 40 40 40 40 40 
n125_03_simulated.txt 10.0 30 30 30 30 30 30 30 30 30 30 
n125_03_simulated.txt 15.0 21 21 21 21 21 21 21 21 21 21 
n125_03_simulated.txt 20.0 17 17 17 17 17 17 17 17 17 17 
n125_03_simulated.txt 25.0 14 14 14 14 14 14 14 14 14 14 
n125_04_simulated.txt 2.0 29 29 29 29 29 29 29 29 29 29 
n125_04_simulated.txt 5.0 22 22 22 22 22 22 22 22 22 22 
n125_04_simulated.txt 10.0 14 14 14 14 14 14 14 14 14 14 
n125_04_simulated.txt 15.0 12 12 12 12 12 12 12 12 12 12 
n125_04_simulated.txt 20.0 16 16 16 16 16 16 16 16 16 16 
n125_04_simulated.txt 25.0 9 9 9 9 9 9 9 9 9 9 
n125_05_simulated.txt 2.0 36 36 36 36 36 36 36 36 36 36 
n125_05_simulated.txt 5.0 27 27 27 27 27 27 27 27 27 27 
n125_05_simulated.txt 10.0 21 21 21 21 21 21 21 21 21 21 
n125_05_simulated.txt 15.0 16 16 16 16 16 16 16 16 16 16 
n125_05_simulated.txt 20.0 16 16 16 16 16 16 16 16 16 16 
n125_05_simulated.txt 25.0 7 7 7 7 7 7 7 7 7 7 
