filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01_simulated.txt 32000.0 6 6 6 6 6 6 6 6 6 6 
n125_01_simulated.txt 72000.0 20 20 20 20 20 20 20 20 20 20 
n125_01_simulated.txt 86400.0 26 26 26 26 26 26 26 26 26 26 
n125_01_simulated.txt 129600.0 34 34 34 34 34 34 34 34 34 34 
n125_01_simulated.txt 172800.0 40 40 40 40 40 40 40 40 40 40 
n125_01_simulated.txt 216000.0 45 45 45 45 45 45 45 45 45 45 
n125_01_simulated.txt 720000.0 117 117 117 117 117 117 117 117 117 117 
n125_02_simulated.txt 32000.0 6 6 6 6 6 6 6 6 6 6 
n125_02_simulated.txt 72000.0 28 28 28 28 28 28 28 28 28 28 
n125_02_simulated.txt 86400.0 35 35 35 35 35 35 35 35 35 35 
n125_02_simulated.txt 129600.0 43 43 43 43 43 43 43 43 43 43 
n125_02_simulated.txt 172800.0 49 49 49 49 49 49 49 49 49 49 
n125_02_simulated.txt 216000.0 51 51 51 51 51 51 51 51 51 51 
n125_02_simulated.txt 720000.0 90 90 90 90 90 90 90 90 90 90 
n125_03_simulated.txt 32000.0 14 14 14 14 14 14 14 14 14 14 
n125_03_simulated.txt 72000.0 40 40 40 40 40 40 40 40 40 40 
n125_03_simulated.txt 86400.0 44 44 44 44 44 44 44 44 44 44 
n125_03_simulated.txt 129600.0 53 53 53 53 53 53 53 53 53 53 
n125_03_simulated.txt 172800.0 58 58 58 58 58 58 58 58 58 58 
n125_03_simulated.txt 216000.0 62 62 62 62 62 62 62 62 62 62 
n125_03_simulated.txt 720000.0 117 117 117 117 117 117 117 117 117 117 
n125_04_simulated.txt 32000.0 7 7 7 7 7 7 7 7 7 7 
n125_04_simulated.txt 72000.0 22 22 22 22 22 22 22 22 22 22 
n125_04_simulated.txt 86400.0 26 26 26 26 26 26 26 26 26 26 
n125_04_simulated.txt 129600.0 35 35 35 35 35 35 35 35 35 35 
n125_04_simulated.txt 172800.0 44 44 44 44 44 44 44 44 44 44 
n125_04_simulated.txt 216000.0 44 44 44 44 44 44 44 44 44 44 
n125_04_simulated.txt 720000.0 103 103 103 103 103 103 103 103 103 103 
n125_05_simulated.txt 32000.0 11 11 11 11 11 11 11 11 11 11 
n125_05_simulated.txt 72000.0 27 27 27 27 27 27 27 27 27 27 
n125_05_simulated.txt 86400.0 28 28 28 28 28 28 28 28 28 28 
n125_05_simulated.txt 129600.0 40 40 40 40 40 40 40 40 40 40 
n125_05_simulated.txt 172800.0 44 44 44 44 44 44 44 44 44 44 
n125_05_simulated.txt 216000.0 48 48 48 48 48 48 48 48 48 48 
n125_05_simulated.txt 720000.0 109 109 109 109 109 109 109 109 109 109 
n125_06_simulated.txt 32000.0 6 6 6 6 6 6 6 6 6 6 
n125_06_simulated.txt 72000.0 17 17 17 17 17 17 17 17 17 17 
n125_06_simulated.txt 86400.0 20 20 20 20 20 20 20 20 20 20 
n125_06_simulated.txt 129600.0 35 35 35 35 35 35 35 35 35 35 
n125_06_simulated.txt 172800.0 39 39 39 39 39 39 39 39 39 39 
n125_06_simulated.txt 216000.0 42 42 42 42 42 42 42 42 42 42 
n125_06_simulated.txt 720000.0 121 121 121 121 121 121 121 121 121 121 
n125_07_simulated.txt 32000.0 2 2 2 2 2 2 2 2 2 2 
n125_07_simulated.txt 72000.0 24 24 24 24 24 24 24 24 24 24 
n125_07_simulated.txt 86400.0 31 31 31 31 31 31 31 31 31 31 
n125_07_simulated.txt 129600.0 38 38 38 38 38 38 38 38 38 38 
n125_07_simulated.txt 172800.0 39 39 39 39 39 39 39 39 39 39 
n125_07_simulated.txt 216000.0 39 39 39 39 39 39 39 39 39 39 
n125_07_simulated.txt 720000.0 117 117 117 117 117 117 117 117 117 117 
n125_08_simulated.txt 32000.0 8 8 8 8 8 8 8 8 8 8 
n125_08_simulated.txt 72000.0 34 34 34 34 34 34 34 34 34 34 
n125_08_simulated.txt 86400.0 36 36 36 36 36 36 36 36 36 36 
n125_08_simulated.txt 129600.0 43 43 43 43 43 43 43 43 43 43 
n125_08_simulated.txt 172800.0 46 46 46 46 46 46 46 46 46 46 
n125_08_simulated.txt 216000.0 52 52 52 52 52 52 52 52 52 52 
n125_08_simulated.txt 720000.0 94 94 94 94 94 94 94 94 94 94 
n125_09_simulated.txt 32000.0 11 11 11 11 11 11 11 11 11 11 
n125_09_simulated.txt 72000.0 36 36 36 36 36 36 36 36 36 36 
n125_09_simulated.txt 86400.0 41 41 41 41 41 41 41 41 41 41 
n125_09_simulated.txt 129600.0 54 54 54 54 54 54 54 54 54 54 
n125_09_simulated.txt 172800.0 61 61 61 61 61 61 61 61 61 61 
n125_09_simulated.txt 216000.0 67 67 67 67 67 67 67 67 67 67 
n125_09_simulated.txt 720000.0 114 114 114 114 114 114 114 114 114 114 
n125_010_simulated.txt 32000.0 9 9 9 9 9 9 9 9 9 9 
