filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
gr25_01_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_02_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_03_simulated.txt 2.0 2 0 2 1 1 2 2 2 0 2 
gr25_04_simulated.txt 2.0 2 2 3 2 4 2 2 4 3 3 
gr25_05_simulated.txt 2.0 1 2 1 1 1 2 1 1 2 2 
gr25_06_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_07_simulated.txt 2.0 2 2 2 3 1 2 2 1 2 1 
gr25_08_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_09_simulated.txt 2.0 1 1 2 2 2 1 1 2 1 1 
gr25_010_simulated.txt 2.0 4 2 4 3 3 3 2 2 2 3 
gr50_01_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr50_02_simulated.txt 2.0 4 4 4 4 4 4 4 4 5 4 
gr50_03_simulated.txt 2.0 14 14 15 15 16 13 14 14 14 15 
gr50_04_simulated.txt 2.0 3 3 3 3 3 4 4 2 3 3 
gr50_05_simulated.txt 2.0 7 8 6 6 8 6 8 7 7 6 
gr50_06_simulated.txt 2.0 5 5 5 6 5 6 5 5 5 5 
gr50_07_simulated.txt 2.0 4 5 3 4 4 4 4 4 4 4 
gr50_08_simulated.txt 2.0 5 3 3 5 3 3 5 2 4 4 
gr50_09_simulated.txt 2.0 6 5 6 7 8 12 7 8 6 6 
gr50_010_simulated.txt 2.0 29 28 27 27 30 26 28 31 28 26 
gr75_01_simulated.txt 2.0 4 4 6 5 4 4 4 4 4 5 
gr75_02_simulated.txt 2.0 15 16 17 16 17 17 15 16 17 16 
gr75_03_simulated.txt 2.0 15 14 15 14 13 15 12 13 13 14 
gr75_04_simulated.txt 2.0 13 12 13 13 13 12 13 14 13 14 
gr75_05_simulated.txt 2.0 15 13 13 16 13 15 14 13 13 15 
gr75_06_simulated.txt 2.0 5 6 7 5 7 6 6 6 7 5 
gr75_07_simulated.txt 2.0 12 14 15 15 16 13 15 15 14 14 
gr75_08_simulated.txt 2.0 15 17 17 15 17 14 17 16 16 15 
gr75_09_simulated.txt 2.0 8 8 7 8 9 8 8 9 8 10 
gr75_010_simulated.txt 2.0 17 18 20 17 18 20 18 19 19 17 
gr100_01_simulated.txt 2.0 31 30 30 27 27 28 30 30 31 28 
gr100_02_simulated.txt 2.0 11 10 12 10 10 9 12 10 11 9 
gr100_03_simulated.txt 2.0 30 31 33 31 31 36 33 30 32 34 
gr100_04_simulated.txt 2.0 9 7 7 9 9 10 9 8 9 7 
gr100_05_simulated.txt 2.0 22 21 24 24 21 24 20 22 24 20 
gr100_06_simulated.txt 2.0 35 33 36 32 35 34 35 36 35 33 
gr100_07_simulated.txt 2.0 28 25 29 27 24 26 29 28 28 26 
gr100_08_simulated.txt 2.0 45 46 50 49 46 50 45 50 46 47 
