filename E_MC #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
gr25_01_simulated.txt 13500.0 2 2 3 3 2 3 2 2 3 3 
gr25_02_simulated.txt 13500.0 0 0 0 0 0 0 0 0 0 0 
gr25_03_simulated.txt 13500.0 3 2 3 3 3 3 3 3 3 4 
gr25_04_simulated.txt 13500.0 7 5 8 7 8 5 6 6 7 6 
gr25_05_simulated.txt 13500.0 5 5 5 6 5 4 4 6 6 5 
gr25_06_simulated.txt 13500.0 2 3 3 2 2 3 2 3 3 2 
gr25_07_simulated.txt 13500.0 7 6 7 7 8 6 7 7 6 6 
gr25_08_simulated.txt 13500.0 4 3 5 3 3 4 4 3 2 4 
gr25_09_simulated.txt 13500.0 2 3 1 4 2 3 2 4 4 4 
gr25_010_simulated.txt 13500.0 5 4 4 3 3 3 2 5 6 4 
gr50_01_simulated.txt 13500.0 4 4 4 4 4 4 4 4 4 4 
gr50_02_simulated.txt 13500.0 7 7 7 7 7 8 7 7 8 6 
gr50_03_simulated.txt 13500.0 14 15 17 16 15 12 14 16 16 18 
gr50_04_simulated.txt 13500.0 9 8 8 8 7 8 8 8 8 8 
gr50_05_simulated.txt 13500.0 11 11 10 13 10 11 11 10 11 12 
gr50_06_simulated.txt 13500.0 8 10 10 9 9 9 10 11 9 11 
gr50_07_simulated.txt 13500.0 6 6 5 5 6 6 6 6 6 6 
gr50_08_simulated.txt 13500.0 6 9 9 8 7 9 8 8 7 8 
gr50_09_simulated.txt 13500.0 9 10 8 7 9 9 10 11 8 10 
gr50_010_simulated.txt 13500.0 26 27 29 26 26 27 26 26 29 23 
gr75_01_simulated.txt 13500.0 7 8 7 7 8 7 8 8 8 8 
gr75_02_simulated.txt 13500.0 16 17 15 15 17 14 18 18 16 16 
gr75_03_simulated.txt 13500.0 13 13 14 14 14 15 14 16 16 17 
gr75_04_simulated.txt 13500.0 16 16 17 16 15 17 16 17 16 16 
gr75_05_simulated.txt 13500.0 16 15 13 14 12 15 14 14 16 15 
gr75_06_simulated.txt 13500.0 9 9 9 10 10 11 10 9 9 7 
gr75_07_simulated.txt 13500.0 13 13 17 17 16 14 14 15 13 14 
gr75_08_simulated.txt 13500.0 15 15 16 15 17 16 16 15 14 16 
gr75_09_simulated.txt 13500.0 11 11 12 11 11 12 12 11 11 10 
gr75_010_simulated.txt 13500.0 19 18 20 21 21 17 21 20 17 19 
gr100_01_simulated.txt 13500.0 29 26 23 26 25 26 23 25 22 26 
gr100_02_simulated.txt 13500.0 13 13 12 14 13 12 15 13 13 12 
gr100_03_simulated.txt 13500.0 29 33 31 31 31 32 34 30 34 32 
gr100_04_simulated.txt 13500.0 10 9 10 8 14 12 11 12 11 10 
gr100_05_simulated.txt 13500.0 18 18 21 20 19 20 20 20 21 20 
gr100_06_simulated.txt 13500.0 29 32 31 31 31 35 34 33 33 35 
gr100_07_simulated.txt 13500.0 26 26 27 21 25 30 25 25 29 22 
gr100_08_simulated.txt 13500.0 45 43 45 43 46 43 45 43 45 46 
gr100_09_simulated.txt 13500.0 18 23 20 20 17 18 21 22 18 19 
gr100_010_simulated.txt 13500.0 24 25 26 24 26 24 24 27 23 25 
gr25_01_simulated.txt 27000.0 1 0 1 1 1 0 1 1 1 1 
gr25_02_simulated.txt 27000.0 0 0 0 0 0 0 0 0 0 0 
gr25_03_simulated.txt 27000.0 1 1 1 2 1 3 1 1 1 1 
gr25_04_simulated.txt 27000.0 5 6 6 5 6 6 6 5 5 6 
gr25_05_simulated.txt 27000.0 4 3 4 4 4 3 3 4 4 3 
gr25_06_simulated.txt 27000.0 1 1 1 1 1 1 1 1 1 1 
gr25_07_simulated.txt 27000.0 3 3 4 3 5 3 3 5 3 3 
gr25_08_simulated.txt 27000.0 2 1 2 2 2 3 2 3 2 2 
gr25_09_simulated.txt 27000.0 1 1 0 0 1 0 1 0 0 0 
gr25_010_simulated.txt 27000.0 2 3 3 4 2 4 4 3 2 3 
gr50_01_simulated.txt 27000.0 2 2 2 2 2 2 2 2 2 2 
gr50_02_simulated.txt 27000.0 3 5 3 5 4 4 6 5 4 6 
gr50_03_simulated.txt 27000.0 13 14 15 10 13 9 13 13 9 13 
gr50_04_simulated.txt 27000.0 5 8 5 4 6 5 6 5 6 6 
gr50_05_simulated.txt 27000.0 11 10 11 11 11 10 11 9 11 9 
gr50_06_simulated.txt 27000.0 8 8 7 9 7 8 7 8 8 8 
gr50_07_simulated.txt 27000.0 4 4 4 4 4 4 4 4 5 4 
gr50_08_simulated.txt 27000.0 7 7 6 5 8 7 6 4 5 6 
