filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
gr25_01_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_02_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_03_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_04_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_05_simulated.txt 2.0 1 0 0 0 0 1 0 0 1 0 
gr25_06_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_07_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_08_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_09_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr25_010_simulated.txt 2.0 3 2 2 3 2 2 3 3 1 3 
gr50_01_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr50_02_simulated.txt 2.0 3 2 2 2 3 2 3 2 3 1 
gr50_03_simulated.txt 2.0 9 9 8 10 8 8 8 9 10 7 
gr50_04_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr50_05_simulated.txt 2.0 2 3 1 1 1 2 1 1 3 3 
gr50_06_simulated.txt 2.0 0 1 0 0 0 0 0 0 0 0 
gr50_07_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr50_08_simulated.txt 2.0 0 0 0 0 0 0 0 0 0 0 
gr50_09_simulated.txt 2.0 2 1 1 3 2 4 2 3 2 0 
gr50_010_simulated.txt 2.0 21 20 19 23 23 21 22 22 21 20 
gr75_01_simulated.txt 2.0 0 1 0 1 0 0 0 0 0 0 
gr75_02_simulated.txt 2.0 8 8 8 8 8 8 10 8 8 6 
gr75_03_simulated.txt 2.0 8 8 12 5 8 7 10 5 10 10 
gr75_04_simulated.txt 2.0 12 10 11 11 10 10 9 10 12 9 
gr75_05_simulated.txt 2.0 8 6 7 7 7 7 6 7 6 9 
gr75_06_simulated.txt 2.0 2 2 4 2 3 2 3 5 3 3 
gr75_07_simulated.txt 2.0 9 10 9 10 11 8 10 9 10 9 
gr75_08_simulated.txt 2.0 9 8 9 9 9 9 11 10 8 8 
gr75_09_simulated.txt 2.0 0 0 0 0 0 0 1 0 3 0 
gr75_010_simulated.txt 2.0 15 13 13 13 14 12 14 13 16 15 
gr100_01_simulated.txt 2.0 22 26 20 21 23 23 21 24 21 26 
gr100_02_simulated.txt 2.0 4 6 4 5 4 5 5 4 5 4 
gr100_03_simulated.txt 2.0 28 27 23 25 25 24 30 24 25 25 
gr100_04_simulated.txt 2.0 6 5 4 6 7 4 6 5 5 4 
gr100_05_simulated.txt 2.0 13 13 15 12 12 15 13 15 13 14 
gr100_06_simulated.txt 2.0 25 24 23 27 27 26 24 27 27 26 
gr100_07_simulated.txt 2.0 18 18 16 18 16 26 20 16 15 19 
gr100_08_simulated.txt 2.0 39 40 39 38 39 37 41 36 36 40 
