filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01.txt 1.0 72 72 72 72 72 72 72 72 72 72 
n125_01.txt 1.5 88 88 88 88 88 88 88 88 88 88 
n125_01.txt 2.0 94 94 94 94 94 94 94 94 94 94 
n125_01.txt 2.5 100 100 100 100 100 100 100 100 100 100 
n125_01.txt 3.0 100 100 100 100 100 100 100 100 100 100 
n125_01.txt 3.5 104 104 104 104 104 104 104 104 104 104 
n125_01.txt 4.0 103 103 103 103 103 103 103 103 103 103 
n125_03.txt 1.0 72 72 72 72 72 72 72 72 72 72 
n125_03.txt 1.5 86 86 86 86 86 86 86 86 86 86 
n125_03.txt 2.0 94 94 94 94 94 94 94 94 94 94 
n125_03.txt 2.5 99 99 99 99 99 99 99 99 99 99 
n125_03.txt 3.0 100 100 100 100 100 100 100 100 100 100 
n125_03.txt 3.5 102 102 102 102 102 102 102 102 102 102 
n125_03.txt 4.0 105 105 105 105 105 105 105 105 105 105 
n125_04.txt 1.0 68 68 68 68 68 68 68 68 68 68 
n125_04.txt 1.5 85 85 85 85 85 85 85 85 85 85 
n125_04.txt 2.0 88 88 88 88 88 88 88 88 88 88 
n125_04.txt 2.5 96 96 96 96 96 96 96 96 96 96 
n125_04.txt 3.0 104 104 104 104 104 104 104 104 104 104 
n125_04.txt 3.5 107 107 107 107 107 107 107 107 107 107 
n125_04.txt 4.0 107 107 107 107 107 107 107 107 107 107 
n125_05.txt 1.0 71 71 71 71 71 71 71 71 71 71 
n125_05.txt 1.5 82 82 82 82 82 82 82 82 82 82 
n125_05.txt 2.0 89 89 89 89 89 89 89 89 89 89 
n125_05.txt 2.5 90 90 90 90 90 90 90 90 90 90 
n125_05.txt 3.0 95 95 95 95 95 95 95 95 95 95 
n125_05.txt 3.5 99 99 99 99 99 99 99 99 99 99 
n125_05.txt 4.0 101 101 101 101 101 101 101 101 101 101 
n150_01.txt 1.0 103 103 103 103 103 103 103 103 103 103 
n150_01.txt 1.5 113 113 113 113 113 113 113 113 113 113 
n150_01.txt 2.0 124 124 124 124 124 124 124 124 124 124 
n150_01.txt 2.5 127 127 127 127 127 127 127 127 127 127 
n150_01.txt 3.0 126 126 126 126 126 126 126 126 126 126 
n150_01.txt 3.5 130 130 130 130 130 130 130 130 130 130 
n150_01.txt 4.0 131 131 131 131 131 131 131 131 131 131 
n150_02.txt 1.0 94 94 94 94 94 94 94 94 94 94 
n150_02.txt 1.5 110 110 110 110 110 110 110 110 110 110 
n150_02.txt 2.0 117 117 117 117 117 117 117 117 117 117 
n150_02.txt 2.5 121 121 121 121 121 121 121 121 121 121 
n150_02.txt 3.0 123 123 123 123 123 123 123 123 123 123 
n150_02.txt 3.5 125 125 125 125 125 125 125 125 125 125 
n150_02.txt 4.0 126 126 126 126 126 126 126 126 126 126 
n150_03.txt 1.0 82 82 82 82 82 82 82 82 82 82 
n150_03.txt 1.5 104 104 104 104 104 104 104 104 104 104 
n150_03.txt 2.0 113 113 113 113 113 113 113 113 113 113 
n150_03.txt 2.5 119 119 119 119 119 119 119 119 119 119 
n150_03.txt 3.0 126 126 126 126 126 126 126 126 126 126 
n150_03.txt 3.5 127 127 127 127 127 127 127 127 127 127 
n150_03.txt 4.0 128 128 128 128 128 128 128 128 128 128 
n150_04.txt 1.0 92 92 92 92 92 92 92 92 92 92 
n150_04.txt 1.5 110 110 110 110 110 110 110 110 110 110 
n150_04.txt 2.0 114 114 114 114 114 114 114 114 114 114 
n150_04.txt 2.5 121 121 121 121 121 121 121 121 121 121 
n150_04.txt 3.0 127 127 127 127 127 127 127 127 127 127 
n150_04.txt 3.5 126 126 126 126 126 126 126 126 126 126 
n150_04.txt 4.0 129 129 129 129 129 129 129 129 129 129 
n175_01.txt 1.0 105 105 105 105 105 105 105 105 105 105 
n175_01.txt 1.5 132 132 132 132 132 132 132 132 132 132 
n175_01.txt 2.0 142 142 142 142 142 142 142 142 142 142 
n175_01.txt 2.5 145 145 145 145 145 145 145 145 145 145 
n175_01.txt 3.0 150 150 150 150 150 150 150 150 150 150 
n175_01.txt 3.5 150 150 150 150 150 150 150 150 150 150 
n175_01.txt 4.0 154 154 154 154 154 154 154 154 154 154 
n175_02.txt 1.0 110 110 110 110 110 110 110 110 110 110 
n175_02.txt 1.5 121 121 121 121 121 121 121 121 121 121 
n175_02.txt 2.0 129 129 129 129 129 129 129 129 129 129 
n175_02.txt 2.5 134 134 134 134 134 134 134 134 134 134 
n175_02.txt 3.0 138 138 138 138 138 138 138 138 138 138 
n175_02.txt 3.5 141 141 141 141 141 141 141 141 141 141 
n175_02.txt 4.0 145 145 145 145 145 145 145 145 145 145 
n175_03.txt 1.0 98 98 98 98 98 98 98 98 98 98 
n175_03.txt 1.5 127 127 127 127 127 127 127 127 127 127 
n175_03.txt 2.0 134 134 134 134 134 134 134 134 134 134 
n175_03.txt 2.5 142 142 142 142 142 142 142 142 142 142 
n175_03.txt 3.0 149 149 149 149 149 149 149 149 149 149 
n175_03.txt 3.5 152 152 152 152 152 152 152 152 152 152 
