filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 2.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 2.0 10 10 10 10 10 10 10 10 10 10 
g_160.txt 2.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 2.0 29 29 29 29 29 29 29 29 29 29 
g_190.txt 2.0 16 16 16 16 16 16 16 16 16 16 
g_200.txt 2.0 15 15 15 15 15 15 15 15 15 15 
g_125.txt 5.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 5.0 10 10 10 10 10 10 10 10 10 10 
g_160.txt 5.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 5.0 29 29 29 29 29 29 29 29 29 29 
g_190.txt 5.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 5.0 14 14 14 14 14 14 14 14 14 14 
g_125.txt 7.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 7.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 7.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 7.0 28 28 28 28 28 28 28 28 28 28 
g_190.txt 7.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 7.0 14 14 14 14 14 14 14 14 14 14 
g_125.txt 10.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 10.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 10.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 10.0 28 28 28 28 28 28 28 28 28 28 
g_190.txt 10.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 10.0 14 14 14 14 14 14 14 14 14 14 
g_125.txt 15.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 15.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 15.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 15.0 28 28 28 28 28 28 28 28 28 28 
g_190.txt 15.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 15.0 14 14 14 14 14 14 14 14 14 14 
g_125.txt 20.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 20.0 9 9 9 9 9 9 9 9 9 9 
g_160.txt 20.0 35 35 35 35 35 35 35 35 35 35 
g_175.txt 20.0 28 28 28 28 28 28 28 28 28 28 
g_190.txt 20.0 14 14 14 14 14 14 14 14 14 14 
g_200.txt 20.0 14 14 14 14 14 14 14 14 14 14 
