filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_300.txt 32000.0 6 6 6 6 6 6 6 6 6 6 
g_350.txt 32000.0 9 9 9 9 9 9 9 9 9 9 
g_400.txt 32000.0 27 27 27 27 27 27 27 27 27 27 
g_450.txt 32000.0 124 124 124 124 124 124 124 124 124 124 
g_475.txt 32000.0 133 133 133 133 133 133 133 133 133 133 
g_500.txt 32000.0 158 158 158 158 158 158 158 158 158 158 
g_250.txt 72000.0 43 43 43 43 43 43 43 43 43 43 
g_300.txt 72000.0 38 38 38 38 38 38 38 38 38 38 
g_350.txt 72000.0 70 70 70 70 70 70 70 70 70 70 
g_400.txt 72000.0 130 130 130 130 130 130 130 130 130 130 
g_450.txt 72000.0 250 250 250 250 250 250 250 250 250 250 
g_475.txt 72000.0 255 255 255 255 255 255 255 255 255 255 
g_500.txt 72000.0 301 301 301 301 301 301 301 301 301 301 
g_250.txt 86400.0 63 63 63 63 63 63 63 63 63 63 
g_300.txt 86400.0 53 53 53 53 53 53 53 53 53 53 
g_350.txt 86400.0 89 89 89 89 89 89 89 89 89 89 
g_400.txt 86400.0 160 160 160 160 160 160 160 160 160 160 
g_450.txt 86400.0 273 273 273 273 273 273 273 273 273 273 
g_475.txt 86400.0 283 283 283 283 283 283 283 283 283 283 
g_500.txt 86400.0 330 330 330 330 330 330 330 330 330 330 
g_250.txt 129600.0 112 112 112 112 112 112 112 112 112 112 
g_300.txt 129600.0 87 87 87 87 87 87 87 87 87 87 
g_350.txt 129600.0 140 140 140 140 140 140 140 140 140 140 
g_400.txt 129600.0 231 231 231 231 231 231 231 231 231 231 
g_450.txt 129600.0 320 320 320 320 320 320 320 320 320 320 
g_475.txt 129600.0 348 348 348 348 348 348 348 348 348 348 
g_500.txt 129600.0 395 395 395 395 395 395 395 395 395 395 
g_250.txt 172800.0 133 133 133 133 133 133 133 133 133 133 
g_300.txt 172800.0 128 128 128 128 128 128 128 128 128 128 
g_350.txt 172800.0 200 200 200 200 200 200 200 200 200 200 
g_400.txt 172800.0 284 284 284 284 284 284 284 284 284 284 
g_450.txt 172800.0 363 363 363 363 363 363 363 363 363 363 
g_475.txt 172800.0 397 397 397 397 397 397 397 397 397 397 
g_500.txt 172800.0 423 423 423 423 423 423 423 423 423 423 
g_250.txt 216000.0 148 148 148 148 148 148 148 148 148 148 
g_300.txt 216000.0 141 141 141 141 141 141 141 141 141 141 
g_350.txt 216000.0 220 220 220 220 220 220 220 220 220 220 
g_400.txt 216000.0 315 315 315 315 315 315 315 315 315 315 
g_450.txt 216000.0 385 385 385 385 385 385 385 385 385 385 
g_475.txt 216000.0 417 417 417 417 417 417 417 417 417 417 
g_500.txt 216000.0 455 455 455 455 455 455 455 455 455 455 
g_250.txt 720000.0 237 237 237 237 237 237 237 237 237 237 
g_300.txt 720000.0 266 266 266 266 266 266 266 266 266 266 
g_350.txt 720000.0 325 325 325 325 325 325 325 325 325 325 
g_400.txt 720000.0 386 386 386 386 386 386 386 386 386 386 
g_450.txt 720000.0 438 438 438 438 438 438 438 438 438 438 
g_475.txt 720000.0 469 469 469 469 469 469 469 469 469 469 
g_500.txt 720000.0 494 494 494 494 494 494 494 494 494 494 
