filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01.txt 5.0 42 42 42 42 42 42 42 42 42 42 
n125_01.txt 10.0 36 36 36 36 36 36 36 36 36 36 
n125_01.txt 15.0 26 26 26 26 26 26 26 26 26 26 
n125_01.txt 20.0 16 16 16 16 16 16 16 16 16 16 
n125_01.txt 25.0 3 3 3 3 3 3 3 3 3 3 
n125_03.txt 5.0 49 49 49 49 49 49 49 49 49 49 
n125_03.txt 10.0 38 38 38 38 38 38 38 38 38 38 
n125_03.txt 15.0 22 22 22 22 22 22 22 22 22 22 
n125_03.txt 20.0 16 16 16 16 16 16 16 16 16 16 
n125_03.txt 25.0 5 5 5 5 5 5 5 5 5 5 
n125_04.txt 5.0 48 48 48 48 48 48 48 48 48 48 
n125_04.txt 10.0 39 39 39 39 39 39 39 39 39 39 
n125_04.txt 15.0 26 26 26 26 26 26 26 26 26 26 
n125_04.txt 20.0 15 15 15 15 15 15 15 15 15 15 
n125_04.txt 25.0 4 4 4 4 4 4 4 4 4 4 
n125_05.txt 5.0 43 43 43 43 43 43 43 43 43 43 
n125_05.txt 10.0 28 28 28 28 28 28 28 28 28 28 
n125_05.txt 15.0 15 15 15 15 15 15 15 15 15 15 
n125_05.txt 20.0 2 2 2 2 2 2 2 2 2 2 
n125_05.txt 25.0 0 0 0 0 0 0 0 0 0 0 
n150_01.txt 5.0 76 76 76 76 76 76 76 76 76 76 
n150_01.txt 10.0 61 61 61 61 61 61 61 61 61 61 
n150_01.txt 15.0 51 51 51 51 51 51 51 51 51 51 
n150_01.txt 20.0 41 41 41 41 41 41 41 41 41 41 
n150_01.txt 25.0 33 33 33 33 33 33 33 33 33 33 
n150_02.txt 5.0 79 79 79 79 79 79 79 79 79 79 
n150_02.txt 10.0 55 55 55 55 55 55 55 55 55 55 
n150_02.txt 15.0 43 43 43 43 43 43 43 43 43 43 
n150_02.txt 20.0 40 40 40 40 40 40 40 40 40 40 
n150_02.txt 25.0 35 35 35 35 35 35 35 35 35 35 
n150_03.txt 5.0 52 52 52 52 52 52 52 52 52 52 
n150_03.txt 10.0 40 40 40 40 40 40 40 40 40 40 
n150_03.txt 15.0 31 31 31 31 31 31 31 31 31 31 
n150_03.txt 20.0 22 22 22 22 22 22 22 22 22 22 
n150_03.txt 25.0 14 14 14 14 14 14 14 14 14 14 
n150_04.txt 5.0 64 64 64 64 64 64 64 64 64 64 
n150_04.txt 10.0 49 49 49 49 49 49 49 49 49 49 
n150_04.txt 15.0 38 38 38 38 38 38 38 38 38 38 
n150_04.txt 20.0 29 29 29 29 29 29 29 29 29 29 
n150_04.txt 25.0 19 19 19 19 19 19 19 19 19 19 
n175_01.txt 5.0 87 87 87 87 87 87 87 87 87 87 
n175_01.txt 10.0 65 65 65 65 65 65 65 65 65 65 
n175_01.txt 15.0 55 55 55 55 55 55 55 55 55 55 
n175_01.txt 20.0 43 43 43 43 43 43 43 43 43 43 
n175_01.txt 25.0 40 40 40 40 40 40 40 40 40 40 
n175_02.txt 5.0 87 87 87 87 87 87 87 87 87 87 
n175_02.txt 10.0 76 76 76 76 76 76 76 76 76 76 
n175_02.txt 15.0 63 63 63 63 63 63 63 63 63 63 
n175_02.txt 20.0 50 50 50 50 50 50 50 50 50 50 
n175_02.txt 25.0 51 51 51 51 51 51 51 51 51 51 
n175_03.txt 5.0 66 66 66 66 66 66 66 66 66 66 
n175_03.txt 10.0 51 51 51 51 51 51 51 51 51 51 
n175_03.txt 15.0 47 47 47 47 47 47 47 47 47 47 
n175_03.txt 20.0 28 28 28 28 28 28 28 28 28 28 
n175_03.txt 25.0 21 21 21 21 21 21 21 21 21 21 
n175_04.txt 5.0 78 78 78 78 78 78 78 78 78 78 
n175_04.txt 10.0 65 65 65 65 65 65 65 65 65 65 
n175_04.txt 15.0 54 54 54 54 54 54 54 54 54 54 
n175_04.txt 20.0 48 48 48 48 48 48 48 48 48 48 
n175_04.txt 25.0 38 38 38 38 38 38 38 38 38 38 
n175_05.txt 5.0 76 76 76 76 76 76 76 76 76 76 
n175_05.txt 10.0 62 62 62 62 62 62 62 62 62 62 
n175_05.txt 15.0 49 49 49 49 49 49 49 49 49 49 
n175_05.txt 20.0 37 37 37 37 37 37 37 37 37 37 
n175_05.txt 25.0 34 34 34 34 34 34 34 34 34 34 
n200_01.txt 5.0 116 116 116 116 116 116 116 116 116 116 
n200_01.txt 10.0 89 89 89 89 89 89 89 89 89 89 
n200_01.txt 15.0 76 76 76 76 76 76 76 76 76 76 
n200_01.txt 20.0 64 64 64 64 64 64 64 64 64 64 
n200_01.txt 25.0 60 60 60 60 60 60 60 60 60 60 
n200_02.txt 5.0 72 72 72 72 72 72 72 72 72 72 
n200_02.txt 10.0 65 65 65 65 65 65 65 65 65 65 
n200_02.txt 15.0 42 42 42 42 42 42 42 42 42 42 
n200_02.txt 20.0 32 32 32 32 32 32 32 32 32 32 
n200_02.txt 25.0 24 24 24 24 24 24 24 24 24 24 
n200_03.txt 5.0 76 76 76 76 76 76 76 76 76 76 
