filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01.txt 1/1 77 77 77 77 77 77 77 77 77 77 
n125_01.txt 1/2 42 42 42 42 42 42 42 42 42 42 
n125_01.txt 1/3 30 30 30 30 30 30 30 30 30 30 
n125_01.txt 1/4 15 15 15 15 15 15 15 15 15 15 
n125_01.txt 1/5 10 10 10 10 10 10 10 10 10 10 
n125_03.txt 1/1 73 73 73 73 73 73 73 73 73 73 
n125_03.txt 1/2 49 49 49 49 49 49 49 49 49 49 
n125_03.txt 1/3 29 29 29 29 29 29 29 29 29 29 
n125_03.txt 1/4 19 19 19 19 19 19 19 19 19 19 
n125_03.txt 1/5 8 8 8 8 8 8 8 8 8 8 
n125_04.txt 1/1 72 72 72 72 72 72 72 72 72 72 
n125_04.txt 1/2 48 48 48 48 48 48 48 48 48 48 
n125_04.txt 1/3 35 35 35 35 35 35 35 35 35 35 
n125_04.txt 1/4 22 22 22 22 22 22 22 22 22 22 
n125_04.txt 1/5 9 9 9 9 9 9 9 9 9 9 
n125_05.txt 1/1 67 67 67 67 67 67 67 67 67 67 
n125_05.txt 1/2 43 43 43 43 43 43 43 43 43 43 
n125_05.txt 1/3 27 27 27 27 27 27 27 27 27 27 
n125_05.txt 1/4 7 7 7 7 7 7 7 7 7 7 
n125_05.txt 1/5 0 0 0 0 0 0 0 0 0 0 
n150_01.txt 1/1 116 116 116 116 116 116 116 116 116 116 
n150_01.txt 1/2 76 76 76 76 76 76 76 76 76 76 
n150_01.txt 1/3 50 50 50 50 50 50 50 50 50 50 
n150_01.txt 1/4 38 38 38 38 38 38 38 38 38 38 
n150_01.txt 1/5 22 22 22 22 22 22 22 22 22 22 
n150_02.txt 1/1 105 105 105 105 105 105 105 105 105 105 
n150_02.txt 1/2 79 79 79 79 79 79 79 79 79 79 
n150_02.txt 1/3 50 50 50 50 50 50 50 50 50 50 
n150_02.txt 1/4 38 38 38 38 38 38 38 38 38 38 
n150_02.txt 1/5 26 26 26 26 26 26 26 26 26 26 
n150_03.txt 1/1 95 95 95 95 95 95 95 95 95 95 
n150_03.txt 1/2 52 52 52 52 52 52 52 52 52 52 
n150_03.txt 1/3 32 32 32 32 32 32 32 32 32 32 
n150_03.txt 1/4 23 23 23 23 23 23 23 23 23 23 
n150_03.txt 1/5 11 11 11 11 11 11 11 11 11 11 
n150_04.txt 1/1 108 108 108 108 108 108 108 108 108 108 
n150_04.txt 1/2 64 64 64 64 64 64 64 64 64 64 
n150_04.txt 1/3 49 49 49 49 49 49 49 49 49 49 
n150_04.txt 1/4 32 32 32 32 32 32 32 32 32 32 
n150_04.txt 1/5 19 19 19 19 19 19 19 19 19 19 
n175_01.txt 1/1 119 119 119 119 119 119 119 119 119 119 
n175_01.txt 1/2 87 87 87 87 87 87 87 87 87 87 
n175_01.txt 1/3 61 61 61 61 61 61 61 61 61 61 
n175_01.txt 1/4 48 48 48 48 48 48 48 48 48 48 
n175_01.txt 1/5 39 39 39 39 39 39 39 39 39 39 
n175_02.txt 1/1 125 125 125 125 125 125 125 125 125 125 
n175_02.txt 1/2 87 87 87 87 87 87 87 87 87 87 
n175_02.txt 1/3 66 66 66 66 66 66 66 66 66 66 
n175_02.txt 1/4 55 55 55 55 55 55 55 55 55 55 
n175_02.txt 1/5 51 51 51 51 51 51 51 51 51 51 
n175_03.txt 1/1 109 109 109 109 109 109 109 109 109 109 
n175_03.txt 1/2 66 66 66 66 66 66 66 66 66 66 
n175_03.txt 1/3 36 36 36 36 36 36 36 36 36 36 
n175_03.txt 1/4 29 29 29 29 29 29 29 29 29 29 
n175_03.txt 1/5 17 17 17 17 17 17 17 17 17 17 
n175_04.txt 1/1 103 103 103 103 103 103 103 103 103 103 
n175_04.txt 1/2 78 78 78 78 78 78 78 78 78 78 
n175_04.txt 1/3 50 50 50 50 50 50 50 50 50 50 
n175_04.txt 1/4 36 36 36 36 36 36 36 36 36 36 
n175_04.txt 1/5 27 27 27 27 27 27 27 27 27 27 
n175_05.txt 1/1 120 120 120 120 120 120 120 120 120 120 
n175_05.txt 1/2 76 76 76 76 76 76 76 76 76 76 
n175_05.txt 1/3 56 56 56 56 56 56 56 56 56 56 
n175_05.txt 1/4 36 36 36 36 36 36 36 36 36 36 
n175_05.txt 1/5 19 19 19 19 19 19 19 19 19 19 
n200_01.txt 1/1 148 148 148 148 148 148 148 148 148 148 
n200_01.txt 1/2 116 116 116 116 116 116 116 116 116 116 
n200_01.txt 1/3 92 92 92 92 92 92 92 92 92 92 
n200_01.txt 1/4 60 60 60 60 60 60 60 60 60 60 
n200_01.txt 1/5 48 48 48 48 48 48 48 48 48 48 
n200_02.txt 1/1 123 123 123 123 123 123 123 123 123 123 
n200_02.txt 1/2 72 72 72 72 72 72 72 72 72 72 
n200_02.txt 1/3 31 31 31 31 31 31 31 31 31 31 
n200_02.txt 1/4 18 18 18 18 18 18 18 18 18 18 
n200_02.txt 1/5 7 7 7 7 7 7 7 7 7 7 
n200_03.txt 1/1 132 132 132 132 132 132 132 132 132 132 
n200_03.txt 1/2 76 76 76 76 76 76 76 76 76 76 
n200_03.txt 1/3 51 51 51 51 51 51 51 51 51 51 
n200_03.txt 1/4 44 44 44 44 44 44 44 44 44 44 
n200_03.txt 1/5 31 31 31 31 31 31 31 31 31 31 
n200_04.txt 1/1 118 118 118 118 118 118 118 118 118 118 
n200_04.txt 1/2 89 89 89 89 89 89 89 89 89 89 
n200_04.txt 1/3 62 62 62 62 62 62 62 62 62 62 
n200_04.txt 1/4 44 44 44 44 44 44 44 44 44 44 
n200_04.txt 1/5 38 38 38 38 38 38 38 38 38 38 
