filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 2.0 46 46 46 46 46 46 46 46 46 46 
g_300.txt 2.0 53 53 53 53 53 53 53 53 53 53 
g_350.txt 2.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 2.0 180 180 180 180 180 180 180 180 180 180 
g_450.txt 2.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 2.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 2.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 5.0 42 42 42 42 42 42 42 42 42 42 
g_300.txt 5.0 52 52 52 52 52 52 52 52 52 52 
g_350.txt 5.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 5.0 179 179 179 179 179 179 179 179 179 179 
g_450.txt 5.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 5.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 5.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 7.0 43 42 42 42 42 42 42 42 42 42 
g_300.txt 7.0 53 53 53 53 53 53 53 53 53 53 
g_350.txt 7.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 7.0 181 181 181 181 181 181 181 181 181 181 
g_450.txt 7.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 7.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 7.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 10.0 44 45 45 45 45 45 45 45 45 45 
g_300.txt 10.0 53 53 53 53 53 53 53 53 53 53 
g_350.txt 10.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 10.0 181 181 181 181 181 181 181 181 181 181 
g_450.txt 10.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 10.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 10.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 15.0 44 44 44 44 44 44 44 44 44 44 
g_300.txt 15.0 51 51 51 51 51 51 51 51 51 51 
g_350.txt 15.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 15.0 180 180 180 180 180 180 180 180 180 180 
g_450.txt 15.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 15.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 15.0 364 364 364 364 364 364 364 364 364 364 
g_250.txt 20.0 44 44 44 44 44 44 44 44 44 44 
g_300.txt 20.0 51 51 51 51 51 51 51 51 51 51 
g_350.txt 20.0 76 76 76 76 76 76 76 76 76 76 
g_400.txt 20.0 180 180 180 180 180 180 180 180 180 180 
g_450.txt 20.0 281 281 281 281 281 281 281 281 281 281 
g_475.txt 20.0 323 323 323 323 323 323 323 323 323 323 
g_500.txt 20.0 364 364 364 364 364 364 364 364 364 364 
