filename V #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 2.0 2 2 2 2 2 2 2 2 2 2 
g_150.txt 2.0 23 23 23 23 23 23 23 23 23 23 
g_160.txt 2.0 4 4 4 4 4 4 4 4 4 4 
g_175.txt 2.0 29 29 29 29 29 29 29 29 29 29 
g_200.txt 2.0 55 55 55 55 55 55 55 55 55 55 
g_125.txt 5.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 5.0 20 20 20 20 20 20 20 20 20 20 
g_160.txt 5.0 3 3 3 3 3 3 3 3 3 3 
g_175.txt 5.0 28 28 28 28 28 28 28 28 28 28 
g_200.txt 5.0 51 51 51 51 51 51 51 51 51 51 
g_125.txt 7.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 7.0 23 23 23 23 23 23 23 23 23 23 
g_160.txt 7.0 3 3 3 3 3 3 3 3 3 3 
g_175.txt 7.0 29 29 29 29 29 29 29 29 29 29 
g_200.txt 7.0 55 55 55 55 55 55 55 55 55 55 
g_125.txt 10.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 10.0 23 23 23 23 23 23 23 23 23 23 
g_160.txt 10.0 3 3 3 3 3 3 3 3 3 3 
g_175.txt 10.0 27 27 27 27 27 27 27 27 27 27 
g_200.txt 10.0 56 56 56 56 56 56 56 56 56 56 
g_125.txt 15.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 15.0 23 23 23 23 23 23 23 23 23 23 
g_160.txt 15.0 3 3 3 3 3 3 3 3 3 3 
g_175.txt 15.0 28 28 28 28 28 28 28 28 28 28 
g_200.txt 15.0 59 59 59 59 59 59 59 59 59 59 
g_125.txt 20.0 1 1 1 1 1 1 1 1 1 1 
g_150.txt 20.0 23 23 23 23 23 23 23 23 23 23 
g_160.txt 20.0 3 3 3 3 3 3 3 3 3 3 
g_175.txt 20.0 27 27 27 27 27 27 27 27 27 27 
g_200.txt 20.0 57 57 57 57 57 57 57 57 57 57 
