filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 32000.0 9 9 9 9 9 9 9 9 9 9 
g_175.txt 32000.0 9 9 9 9 9 9 9 9 9 9 
g_190.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_200.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_125.txt 72000.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 72000.0 5 5 5 5 5 5 5 5 5 5 
g_160.txt 72000.0 25 25 25 25 25 25 25 25 25 25 
g_175.txt 72000.0 24 24 24 24 24 24 24 24 24 24 
g_190.txt 72000.0 13 13 13 13 13 13 13 13 13 13 
g_200.txt 72000.0 11 11 11 11 11 11 11 11 11 11 
g_125.txt 86400.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 86400.0 10 10 10 10 10 10 10 10 10 10 
g_160.txt 86400.0 28 28 28 28 28 28 28 28 28 28 
g_175.txt 86400.0 29 29 29 29 29 29 29 29 29 29 
g_190.txt 86400.0 20 20 20 20 20 20 20 20 20 20 
g_200.txt 86400.0 14 14 14 14 14 14 14 14 14 14 
g_125.txt 129600.0 6 3 3 3 3 3 3 3 3 3 
g_150.txt 129600.0 30 30 30 30 30 30 30 30 30 30 
g_160.txt 129600.0 40 40 40 40 40 40 40 40 40 40 
g_175.txt 129600.0 50 50 50 50 50 50 50 50 50 50 
g_190.txt 129600.0 42 42 42 42 42 42 42 42 42 42 
g_200.txt 129600.0 37 37 37 37 37 37 37 37 37 37 
g_125.txt 172800.0 17 20 20 20 20 20 20 20 20 20 
g_150.txt 172800.0 35 35 35 35 35 35 35 35 35 35 
g_160.txt 172800.0 45 45 45 45 45 45 45 45 45 45 
g_175.txt 172800.0 67 67 67 67 67 67 67 67 67 67 
g_190.txt 172800.0 55 55 55 55 55 55 55 55 55 55 
g_200.txt 172800.0 60 60 60 60 60 60 60 60 60 60 
g_125.txt 216000.0 29 27 27 27 27 27 27 27 27 27 
g_150.txt 216000.0 39 39 39 39 39 39 39 39 39 39 
g_160.txt 216000.0 49 49 49 49 49 49 49 49 49 49 
g_175.txt 216000.0 70 70 70 70 70 70 70 70 70 70 
g_190.txt 216000.0 60 60 60 60 60 60 60 60 60 60 
g_200.txt 216000.0 67 67 67 67 67 67 67 67 67 67 
g_125.txt 720000.0 35 35 35 35 35 35 35 35 35 35 
g_150.txt 720000.0 47 47 47 47 47 47 47 47 47 47 
g_160.txt 720000.0 54 54 54 54 54 54 54 54 54 54 
g_175.txt 720000.0 75 75 75 75 75 75 75 75 75 75 
g_190.txt 720000.0 70 70 70 70 70 70 70 70 70 70 
g_200.txt 720000.0 84 84 84 84 84 84 84 84 84 84 
