filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_150.txt 1.0 4 4 4 4 4 4 4 4 4 4 
g_160.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_175.txt 1.0 12 12 12 12 12 12 12 12 12 12 
g_190.txt 1.0 33 33 33 33 33 33 33 33 33 33 
g_200.txt 1.0 22 22 22 22 22 22 22 22 22 22 
g_125.txt 1.5 13 13 13 13 13 13 13 13 13 13 
g_150.txt 1.5 24 24 24 24 24 24 24 24 24 24 
g_160.txt 1.5 6 6 6 6 6 6 6 6 6 6 
g_175.txt 1.5 36 36 36 36 36 36 36 36 36 36 
g_190.txt 1.5 53 53 53 53 53 53 53 53 53 53 
g_200.txt 1.5 48 48 48 48 48 48 48 48 48 48 
g_125.txt 2.0 33 36 36 36 36 36 36 36 36 36 
g_150.txt 2.0 43 43 43 43 43 43 43 43 43 43 
g_160.txt 2.0 25 25 25 25 25 25 25 25 25 25 
g_175.txt 2.0 56 56 56 56 56 56 56 56 56 56 
g_190.txt 2.0 80 80 80 80 80 80 80 80 80 80 
g_200.txt 2.0 75 75 75 75 75 75 75 75 75 75 
g_125.txt 2.5 39 40 40 40 40 40 40 40 40 40 
g_150.txt 2.5 54 54 54 54 54 54 54 54 54 54 
g_160.txt 2.5 45 45 45 45 45 45 45 45 45 45 
g_175.txt 2.5 80 80 80 80 80 80 80 80 80 80 
g_190.txt 2.5 95 95 95 95 95 95 95 95 95 95 
g_200.txt 2.5 91 91 91 91 91 91 91 91 91 91 
g_125.txt 3.0 52 52 52 52 52 52 52 52 52 52 
g_150.txt 3.0 66 66 66 66 66 66 66 66 66 66 
g_160.txt 3.0 55 55 55 55 55 55 55 55 55 55 
g_175.txt 3.0 86 86 86 86 86 86 86 86 86 86 
g_190.txt 3.0 105 105 105 105 105 105 105 105 105 105 
g_200.txt 3.0 106 106 106 106 106 106 106 106 106 106 
g_125.txt 3.5 63 61 61 61 61 61 61 61 61 61 
g_150.txt 3.5 86 86 86 86 86 86 86 86 86 86 
g_160.txt 3.5 73 73 73 73 73 73 73 73 73 73 
g_175.txt 3.5 99 99 99 99 99 99 99 99 99 99 
g_190.txt 3.5 119 119 119 119 119 119 119 119 119 119 
g_200.txt 3.5 118 118 118 118 118 118 118 118 118 118 
g_125.txt 4.0 74 73 73 73 73 73 73 73 73 73 
g_150.txt 4.0 88 88 88 88 88 88 88 88 88 88 
g_160.txt 4.0 80 80 80 80 80 80 80 80 80 80 
g_175.txt 4.0 111 111 111 111 111 111 111 111 111 111 
g_190.txt 4.0 129 129 129 129 129 129 129 129 129 129 
g_200.txt 4.0 133 133 133 133 133 133 133 133 133 133 
