filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 32000.0 5 5 5 5 5 5 5 5 5 5 
g_250.txt 72000.0 27 27 27 27 27 27 27 27 27 27 
g_250.txt 86400.0 29 29 29 29 29 29 29 29 29 29 
g_250.txt 129600.0 61 61 61 61 61 61 61 61 61 61 
g_250.txt 172800.0 85 85 85 85 85 85 85 85 85 85 
g_250.txt 216000.0 104 104 104 104 104 104 104 104 104 104 
g_250.txt 720000.0 125 125 125 125 125 125 125 125 125 125 
g_300.txt 32000.0 0 0 0 0 0 0 0 0 0 0 
g_300.txt 72000.0 18 18 18 18 18 18 18 18 18 18 
g_300.txt 86400.0 26 26 26 26 26 26 26 26 26 26 
g_300.txt 129600.0 60 60 60 60 60 60 60 60 60 60 
g_300.txt 172800.0 83 83 83 83 83 83 83 83 83 83 
g_300.txt 216000.0 104 104 104 104 104 104 104 104 104 104 
g_300.txt 720000.0 144 144 144 144 144 144 144 144 144 144 
g_350.txt 32000.0 5 5 5 5 5 5 5 5 5 5 
g_350.txt 72000.0 36 36 36 36 36 36 36 36 36 36 
g_350.txt 86400.0 55 55 55 55 55 55 55 55 55 55 
g_350.txt 129600.0 89 89 89 89 89 89 89 89 89 89 
g_350.txt 172800.0 122 122 122 122 122 122 122 122 122 122 
g_350.txt 216000.0 154 154 154 154 154 154 154 154 154 154 
g_350.txt 720000.0 205 205 205 205 205 205 205 205 205 205 
g_400.txt 32000.0 37 37 37 37 37 37 37 37 37 37 
g_400.txt 72000.0 122 122 122 122 122 122 122 122 122 122 
g_400.txt 86400.0 151 151 151 151 151 151 151 151 151 151 
g_400.txt 129600.0 201 201 201 201 201 201 201 201 201 201 
g_400.txt 172800.0 248 248 248 248 248 248 248 248 248 248 
g_400.txt 216000.0 272 272 272 272 272 272 272 272 272 272 
g_400.txt 720000.0 292 292 292 292 292 292 292 292 292 292 
g_450.txt 32000.0 122 122 122 122 122 122 122 122 122 122 
g_450.txt 72000.0 250 250 250 250 250 250 250 250 250 250 
g_450.txt 86400.0 280 280 280 280 280 280 280 280 280 280 
g_450.txt 129600.0 324 324 324 324 324 324 324 324 324 324 
g_450.txt 172800.0 351 351 351 351 351 351 351 351 351 351 
g_450.txt 216000.0 364 364 364 364 364 364 364 364 364 364 
g_450.txt 720000.0 364 364 364 364 364 364 364 364 364 364 
g_475.txt 32000.0 128 128 128 128 128 128 128 128 128 128 
g_475.txt 72000.0 252 252 252 252 252 252 252 252 252 252 
g_475.txt 86400.0 275 275 275 275 275 275 275 275 275 275 
g_475.txt 129600.0 327 327 327 327 327 327 327 327 327 327 
g_475.txt 172800.0 368 368 368 368 368 368 368 368 368 368 
g_475.txt 216000.0 387 387 387 387 387 387 387 387 387 387 
g_475.txt 720000.0 392 392 392 392 392 392 392 392 392 392 
g_500.txt 32000.0 190 190 190 190 190 190 190 190 190 190 
g_500.txt 72000.0 330 330 330 330 330 330 330 330 330 330 
g_500.txt 86400.0 363 363 363 363 363 363 363 363 363 363 
g_500.txt 129600.0 410 410 410 410 410 410 410 410 410 410 
g_500.txt 172800.0 439 439 439 439 439 439 439 439 439 439 
g_500.txt 216000.0 454 454 454 454 454 454 454 454 454 454 
g_500.txt 720000.0 496 496 496 496 496 496 496 496 496 496 
