filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_250.txt 1.0 40 40 40 40 40 40 40 40 40 40 
g_250.txt 1.5 81 81 81 81 81 81 81 81 81 81 
g_250.txt 2.0 113 113 113 113 113 113 113 113 113 113 
g_250.txt 2.5 128 128 128 128 128 128 128 128 128 128 
g_250.txt 3.0 144 144 144 144 144 144 144 144 144 144 
g_250.txt 3.5 158 158 158 158 158 158 158 158 158 158 
g_250.txt 4.0 170 170 170 170 170 170 170 170 170 170 
g_300.txt 1.0 32 32 32 32 32 32 32 32 32 32 
g_300.txt 1.5 65 65 65 65 65 65 65 65 65 65 
g_300.txt 2.0 88 88 88 88 88 88 88 88 88 88 
g_300.txt 2.5 118 118 118 118 118 118 118 118 118 118 
g_300.txt 3.0 129 129 129 129 129 129 129 129 129 129 
g_300.txt 3.5 153 153 153 153 153 153 153 153 153 153 
g_300.txt 4.0 160 160 160 160 160 160 160 160 160 160 
g_350.txt 1.0 59 59 59 59 59 59 59 59 59 59 
g_350.txt 1.5 106 106 106 106 106 106 106 106 106 106 
g_350.txt 2.0 147 147 147 147 147 147 147 147 147 147 
g_350.txt 2.5 193 193 193 193 193 193 193 193 193 193 
g_350.txt 3.0 210 210 210 210 210 210 210 210 210 210 
g_350.txt 3.5 238 238 238 238 238 238 238 238 238 238 
g_350.txt 4.0 255 255 255 255 255 255 255 255 255 255 
g_400.txt 1.0 119 119 119 119 119 119 119 119 119 119 
g_400.txt 1.5 196 196 196 196 196 196 196 196 196 196 
g_400.txt 2.0 236 236 236 236 236 236 236 236 236 236 
g_400.txt 2.5 279 279 279 279 279 279 279 279 279 279 
g_400.txt 3.0 299 299 299 299 299 299 299 299 299 299 
g_400.txt 3.5 326 326 326 326 326 326 326 326 326 326 
g_400.txt 4.0 345 345 345 345 345 345 345 345 345 345 
g_450.txt 1.0 245 245 245 245 245 245 245 245 245 245 
g_450.txt 1.5 309 309 309 309 309 309 309 309 309 309 
g_450.txt 2.0 343 343 343 343 343 343 343 343 343 343 
g_450.txt 2.5 367 367 367 367 367 367 367 367 367 367 
g_450.txt 3.0 385 385 385 385 385 385 385 385 385 385 
g_450.txt 3.5 399 399 399 399 399 399 399 399 399 399 
g_450.txt 4.0 410 410 410 410 410 410 410 410 410 410 
g_475.txt 1.0 241 241 241 241 241 241 241 241 241 241 
g_475.txt 1.5 315 315 315 315 315 315 315 315 315 315 
g_475.txt 2.0 368 368 368 368 368 368 368 368 368 368 
g_475.txt 2.5 404 404 404 404 404 404 404 404 404 404 
g_475.txt 3.0 417 417 417 417 417 417 417 417 417 417 
g_475.txt 3.5 428 428 428 428 428 428 428 428 428 428 
g_475.txt 4.0 438 438 438 438 438 438 438 438 438 438 
g_500.txt 1.0 301 301 301 301 301 301 301 301 301 301 
g_500.txt 1.5 371 371 371 371 371 371 371 371 371 371 
g_500.txt 2.0 408 408 408 408 408 408 408 408 408 408 
g_500.txt 2.5 430 430 430 430 430 430 430 430 430 430 
g_500.txt 3.0 455 455 455 455 455 455 455 455 455 455 
g_500.txt 3.5 459 459 459 459 459 459 459 459 459 459 
g_500.txt 4.0 478 478 478 478 478 478 478 478 478 478 
