filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
g_125.txt 1.0 2 2 2 2 2 2 2 2 2 2 
g_125.txt 1.5 20 20 20 20 20 20 20 20 20 20 
g_125.txt 2.0 30 30 30 30 30 30 30 30 30 30 
g_125.txt 2.5 40 40 40 40 40 40 40 40 40 40 
g_125.txt 3.0 45 45 45 45 45 45 45 45 45 45 
g_125.txt 3.5 49 49 49 49 49 49 49 49 49 49 
g_125.txt 4.0 57 57 57 57 57 57 57 57 57 57 
g_150.txt 1.0 2 2 2 2 2 2 2 2 2 2 
g_150.txt 1.5 17 17 17 17 17 17 17 17 17 17 
g_150.txt 2.0 31 31 31 31 31 31 31 31 31 31 
g_150.txt 2.5 46 46 46 46 46 46 46 46 46 46 
g_150.txt 3.0 55 55 55 55 55 55 55 55 55 55 
g_150.txt 3.5 64 64 64 64 64 64 64 64 64 64 
g_150.txt 4.0 77 77 77 77 77 77 77 77 77 77 
g_160.txt 1.0 0 0 0 0 0 0 0 0 0 0 
g_160.txt 1.5 5 5 5 5 5 5 5 5 5 5 
g_160.txt 2.0 24 24 24 24 24 24 24 24 24 24 
g_160.txt 2.5 36 36 36 36 36 36 36 36 36 36 
g_160.txt 3.0 52 52 52 52 52 52 52 52 52 52 
g_160.txt 3.5 64 64 64 64 64 64 64 64 64 64 
g_160.txt 4.0 84 84 84 84 84 84 84 84 84 84 
g_175.txt 1.0 21 21 21 21 21 21 21 21 21 21 
g_175.txt 1.5 33 33 33 33 33 33 33 33 33 33 
g_175.txt 2.0 51 51 51 51 51 51 51 51 51 51 
g_175.txt 2.5 63 63 63 63 63 63 63 63 63 63 
g_175.txt 3.0 80 80 80 80 80 80 80 80 80 80 
g_175.txt 3.5 94 94 94 94 94 94 94 94 94 94 
g_175.txt 4.0 113 113 113 113 113 113 113 113 113 113 
g_190.txt 1.0 10 10 10 10 10 10 10 10 10 10 
g_190.txt 1.5 32 32 32 32 32 32 32 32 32 32 
g_190.txt 2.0 58 58 58 58 58 58 58 58 58 58 
g_190.txt 2.5 71 71 71 71 71 71 71 71 71 71 
g_190.txt 3.0 86 86 86 86 86 86 86 86 86 86 
g_190.txt 3.5 103 103 103 103 103 103 103 103 103 103 
g_190.txt 4.0 118 118 118 118 118 118 118 118 118 118 
g_200.txt 1.0 31 31 31 31 31 31 31 31 31 31 
g_200.txt 1.5 56 56 56 56 56 56 56 56 56 56 
g_200.txt 2.0 73 73 73 73 73 73 73 73 73 73 
g_200.txt 2.5 89 89 89 89 89 89 89 89 89 89 
g_200.txt 3.0 98 98 98 98 98 98 98 98 98 98 
g_200.txt 3.5 114 114 114 114 114 114 114 114 114 114 
g_200.txt 4.0 120 120 120 120 120 120 120 120 120 120 
