filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
n125_01.txt 1.0 73 77 77 77 77 77 77 77 77 77 
n125_01.txt 1.5 97 97 97 97 97 97 97 97 97 97 
n125_01.txt 2.0 106 106 106 106 106 106 106 106 106 106 
n125_01.txt 2.5 111 111 111 111 111 111 111 111 111 111 
n125_01.txt 3.0 113 113 113 113 113 113 113 113 113 113 
n125_01.txt 3.5 114 114 114 114 114 114 114 114 114 114 
n125_01.txt 4.0 114 114 114 114 114 114 114 114 114 114 
n125_03.txt 1.0 73 73 73 73 73 73 73 73 73 73 
n125_03.txt 1.5 102 102 102 102 102 102 102 102 102 102 
n125_03.txt 2.0 109 109 109 109 109 109 109 109 109 109 
n125_03.txt 2.5 111 111 111 111 111 111 111 111 111 111 
n125_03.txt 3.0 113 113 113 113 113 113 113 113 113 113 
n125_03.txt 3.5 115 115 115 115 115 115 115 115 115 115 
n125_03.txt 4.0 115 115 115 115 115 115 115 115 115 115 
n125_04.txt 1.0 72 72 72 72 72 72 72 72 72 72 
n125_04.txt 1.5 91 91 91 91 91 91 91 91 91 91 
n125_04.txt 2.0 103 103 103 103 103 103 103 103 103 103 
n125_04.txt 2.5 113 113 113 113 113 113 113 113 113 113 
n125_04.txt 3.0 118 118 118 118 118 118 118 118 118 118 
n125_04.txt 3.5 119 119 119 119 119 119 119 119 119 119 
n125_04.txt 4.0 120 120 120 120 120 120 120 120 120 120 
n125_05.txt 1.0 67 67 67 67 67 67 67 67 67 67 
n125_05.txt 1.5 81 81 81 81 81 81 81 81 81 81 
n125_05.txt 2.0 87 87 87 87 87 87 87 87 87 87 
n125_05.txt 2.5 102 102 102 102 102 102 102 102 102 102 
n125_05.txt 3.0 107 107 107 107 107 107 107 107 107 107 
n125_05.txt 3.5 112 112 112 112 112 112 112 112 112 112 
n125_05.txt 4.0 113 113 113 113 113 113 113 113 113 113 
n150_01.txt 1.0 116 116 116 116 116 116 116 116 116 116 
n150_01.txt 1.5 125 125 125 125 125 125 125 125 125 125 
n150_01.txt 2.0 137 137 137 137 137 137 137 137 137 137 
n150_01.txt 2.5 139 139 139 139 139 139 139 139 139 139 
n150_01.txt 3.0 141 141 141 141 141 141 141 141 141 141 
n150_01.txt 3.5 142 142 142 142 142 142 142 142 142 142 
n150_01.txt 4.0 142 142 142 142 142 142 142 142 142 142 
n150_02.txt 1.0 105 105 105 105 105 105 105 105 105 105 
n150_02.txt 1.5 121 121 121 121 121 121 121 121 121 121 
n150_02.txt 2.0 132 132 132 132 132 132 132 132 132 132 
n150_02.txt 2.5 134 134 134 134 134 134 134 134 134 134 
n150_02.txt 3.0 135 135 135 135 135 135 135 135 135 135 
n150_02.txt 3.5 137 137 137 137 137 137 137 137 137 137 
n150_02.txt 4.0 137 137 137 137 137 137 137 137 137 137 
n150_03.txt 1.0 95 95 95 95 95 95 95 95 95 95 
n150_03.txt 1.5 119 119 119 119 119 119 119 119 119 119 
n150_03.txt 2.0 130 130 130 130 130 130 130 130 130 130 
n150_03.txt 2.5 134 134 134 134 134 134 134 134 134 134 
n150_03.txt 3.0 135 135 135 135 135 135 135 135 135 135 
n150_03.txt 3.5 139 139 139 139 139 139 139 139 139 139 
n150_03.txt 4.0 140 140 140 140 140 140 140 140 140 140 
n150_04.txt 1.0 108 108 108 108 108 108 108 108 108 108 
n150_04.txt 1.5 123 123 123 123 123 123 123 123 123 123 
n150_04.txt 2.0 130 130 130 130 130 130 130 130 130 130 
n150_04.txt 2.5 136 136 136 136 136 136 136 136 136 136 
n150_04.txt 3.0 139 139 139 139 139 139 139 139 139 139 
n150_04.txt 3.5 140 140 140 140 140 140 140 140 140 140 
n150_04.txt 4.0 140 140 140 140 140 140 140 140 140 140 
n175_01.txt 1.0 119 119 119 119 119 119 119 119 119 119 
n175_01.txt 1.5 145 145 145 145 145 145 145 145 145 145 
n175_01.txt 2.0 156 156 156 156 156 156 156 156 156 156 
n175_01.txt 2.5 159 159 159 159 159 159 159 159 159 159 
n175_01.txt 3.0 163 163 163 163 163 163 163 163 163 163 
n175_01.txt 3.5 164 164 164 164 164 164 164 164 164 164 
n175_01.txt 4.0 166 166 166 166 166 166 166 166 166 166 
n175_02.txt 1.0 125 125 125 125 125 125 125 125 125 125 
n175_02.txt 1.5 137 137 137 137 137 137 137 137 137 137 
n175_02.txt 2.0 143 143 143 143 143 143 143 143 143 143 
n175_02.txt 2.5 149 149 149 149 149 149 149 149 149 149 
n175_02.txt 3.0 154 154 154 154 154 154 154 154 154 154 
n175_02.txt 3.5 155 155 155 155 155 155 155 155 155 155 
n175_02.txt 4.0 157 157 157 157 157 157 157 157 157 157 
n175_03.txt 1.0 109 109 109 109 109 109 109 109 109 109 
n175_03.txt 1.5 138 138 138 138 138 138 138 138 138 138 
n175_03.txt 2.0 151 151 151 151 151 151 151 151 151 151 
n175_03.txt 2.5 160 160 160 160 160 160 160 160 160 160 
n175_03.txt 3.0 165 165 165 165 165 165 165 165 165 165 
n175_03.txt 3.5 166 166 166 166 166 166 166 166 166 166 
n175_03.txt 4.0 167 167 167 167 167 167 167 167 167 167 
n175_04.txt 1.0 103 103 103 103 103 103 103 103 103 103 
n175_04.txt 1.5 132 132 132 132 132 132 132 132 132 132 
n175_04.txt 2.0 141 141 141 141 141 141 141 141 141 141 
n175_04.txt 2.5 148 148 148 148 148 148 148 148 148 148 
n175_04.txt 3.0 150 150 150 150 150 150 150 150 150 150 
n175_04.txt 3.5 152 152 152 152 152 152 152 152 152 152 
n175_04.txt 4.0 152 152 152 152 152 152 152 152 152 152 
n175_05.txt 1.0 120 120 120 120 120 120 120 120 120 120 
n175_05.txt 1.5 137 137 137 137 137 137 137 137 137 137 
n175_05.txt 2.0 146 146 146 146 146 146 146 146 146 146 
n175_05.txt 2.5 151 151 151 151 151 151 151 151 151 151 
n175_05.txt 3.0 157 157 157 157 157 157 157 157 157 157 
n175_05.txt 3.5 159 159 159 159 159 159 159 159 159 159 
n175_05.txt 4.0 160 160 160 160 160 160 160 160 160 160 
n200_01.txt 1.0 148 148 148 148 148 148 148 148 148 148 
n200_01.txt 1.5 170 170 170 170 170 170 170 170 170 170 
n200_01.txt 2.0 182 182 182 182 182 182 182 182 182 182 
n200_01.txt 2.5 187 187 187 187 187 187 187 187 187 187 
n200_01.txt 3.0 192 192 192 192 192 192 192 192 192 192 
n200_01.txt 3.5 193 193 193 193 193 193 193 193 193 193 
n200_01.txt 4.0 193 193 193 193 193 193 193 193 193 193 
n200_02.txt 1.0 123 123 123 123 123 123 123 123 123 123 
n200_02.txt 1.5 158 158 158 158 158 158 158 158 158 158 
n200_02.txt 2.0 166 166 166 166 166 166 166 166 166 166 
n200_02.txt 2.5 167 167 167 167 167 167 167 167 167 167 
n200_02.txt 3.0 171 171 171 171 171 171 171 171 171 171 
n200_02.txt 3.5 173 173 173 173 173 173 173 173 173 173 
n200_02.txt 4.0 173 173 173 173 173 173 173 173 173 173 
n200_03.txt 1.0 132 132 132 132 132 132 132 132 132 132 
n200_03.txt 1.5 154 154 154 154 154 154 154 154 154 154 
n200_03.txt 2.0 168 168 168 168 168 168 168 168 168 168 
n200_03.txt 2.5 171 171 171 171 171 171 171 171 171 171 
n200_03.txt 3.0 176 176 176 176 176 176 176 176 176 176 
n200_03.txt 3.5 179 179 179 179 179 179 179 179 179 179 
n200_03.txt 4.0 181 181 181 181 181 181 181 181 181 181 
n200_04.txt 1.0 118 118 118 118 118 118 118 118 118 118 
n200_04.txt 1.5 145 145 145 145 145 145 145 145 145 145 
n200_04.txt 2.0 154 154 154 154 154 154 154 154 154 154 
n200_04.txt 2.5 163 163 163 163 163 163 163 163 163 163 
n200_04.txt 3.0 173 173 173 173 173 173 173 173 173 173 
n200_04.txt 3.5 181 181 181 181 181 181 181 181 181 181 
n200_04.txt 4.0 183 183 183 183 183 183 183 183 183 183 
